# Digested data for dctcp_w4 experiment, run at 2026-04-21 06:11:05.628931
# Averaged across 1 repeated sample(s)
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
      60  0.002200      764   253.9  21219.1 122717.0  15.0 1251.1  7235.7
      72  0.004232      706   288.7  35726.7  68049.7  17.4 2152.2  4099.4
      92  0.007031      972   289.8  36475.0 168319.4  17.8 2237.7 10326.3
     119  0.009280      781   285.4  30584.6 205579.6  17.7 1897.3 12753.1
     154  0.011341      716   294.1  34262.3 204386.0  18.5 2152.2 12838.3
     199  0.013604      786   275.5  22376.7  82104.5  17.4 1413.6  5186.6
     222  0.016967     1168   276.7  18078.6 107795.2  17.3 1133.5  6758.3
     227  0.019809      987   302.4  32975.1 154492.6  19.3 2100.3  9840.3
     232  0.022550      952   276.2  34568.0  99530.9  17.9 2234.5  6433.8
     237  0.025063      873   282.8  43395.5 185429.0  18.3 2814.2 12025.2
     243  0.027563      868   277.2  42924.4 132708.6  18.1 2805.5  8673.8
     248  0.030269      940   315.7  24767.1 122117.3  20.8 1635.9  8065.9
     254  0.032682      838   277.2  28605.1 187543.3  18.4 1896.9 12436.6
     259  0.035374      935   290.0  41612.4 181989.8  19.2 2761.3 12076.3
     265  0.038031      923   293.2  31812.0 212778.7  19.5 2113.8 14138.1
     271  0.040712      931   294.7  41920.1 201375.9  19.6 2792.8 13416.1
     279  0.043948     1124   281.1  49258.6 187109.7  18.7 3277.3 12449.1
     288  0.047392     1196   294.9  25312.1 176513.8  19.6 1685.2 11751.9
     297  0.050734     1161   276.4  56578.3 150483.8  18.4 3769.4 10025.6
     303  0.060270     3312   296.4  21715.6 135966.2  19.7 1443.9  9040.3
     305  0.068796     2961   297.9  35007.5 180719.0  19.8 2329.2 12023.9
     308  0.076996     2848   290.5  34440.7 116263.6  19.3 2285.4  7714.9
     310  0.085458     2939   294.4  28419.2 134644.2  19.5 1880.8  8910.9
     313  0.093816     2903   292.9  23626.2 132830.3  19.4 1562.6  8785.1
     315  0.102393     2979   308.8  46246.0 177448.0  20.4 3052.5 11712.7
     318  0.110864     2942   282.3  40429.9 160889.8  18.7 2679.3 10662.0
     321  0.119470     2989   299.0  43919.0 180020.9  19.9 2916.3 11953.6
     323  0.128027     2972   295.6  36688.6 160786.8  19.6 2432.9 10662.3
     326  0.136480     2936   292.0  28322.7 148859.7  19.3 1874.4  9851.7
     331  0.143053     2283   291.4  27530.0  88394.3  19.3 1826.8  5865.6
     335  0.149563     2261   294.6  34632.0 142811.1  19.3 2270.9  9364.7
     340  0.156111     2274   300.9  35027.2  77167.6  19.9 2316.6  5103.7
     345  0.162790     2320   298.5  31762.6 106633.1  19.8 2106.3  7071.2
     350  0.169433     2307   294.7  29603.4 143953.0  19.5 1961.8  9539.6
     355  0.176230     2361   302.8  26111.6  81078.6  19.7 1700.0  5278.6
     360  0.183020     2358   297.1  37674.8 115566.7  19.2 2438.5  7480.0
     365  0.189434     2228   295.4  24067.9 123748.6  19.5 1584.5  8146.7
     371  0.195973     2271   284.1  21953.6 147478.0  18.7 1448.1  9728.1
     376  0.202578     2294   295.7  30371.3  65890.1  19.4 1994.2  4326.3
     385  0.206698     1431   296.8  43692.1 173540.0  19.5 2876.4 11424.6
     395  0.210715     1395   290.5  45297.4 119468.1  19.1 2978.1  7854.6
     405  0.214849     1436   296.4  30718.2  54478.5  19.6 2028.9  3598.3
     415  0.218895     1405   265.1  31067.2 137206.5  17.5 2049.3  9050.6
     425  0.222954     1410   313.9  46402.7 154929.5  20.7 3066.9 10239.9
     430  0.227109     1443   287.7  42896.3  89923.1  19.0 2837.1  5947.3
     435  0.231477     1517   296.8  34859.8  94523.5  19.6 2305.5  6251.6
     441  0.235456     1382   270.5  19856.3  80467.9  17.8 1305.5  5290.5
     446  0.239610     1443   291.1  26640.9 118155.3  19.2 1759.6  7804.2
     452  0.243693     1418   294.8  32687.5 118179.0  19.4 2146.3  7759.6
     457  0.247741     1406   286.9  24619.6  90313.5  18.9 1625.1  5961.3
     463  0.251856     1429   285.1  28448.3 139282.7  18.8 1875.3  9181.5
     468  0.256261     1530   282.1  32914.7 104556.7  18.7 2176.9  6915.1
     474  0.260280     1396   275.3  35666.0  92149.2  18.2 2357.3  6090.5
     480  0.264277     1388   314.3  28080.3 117370.4  20.7 1853.5  7747.2
     491  0.283179     6565   291.9  33930.7 131987.7  19.0 2213.4  8609.8
     502  0.302455     6695   291.4  29157.8 136555.5  19.1 1910.7  8948.6
     513  0.322120     6830   300.1  37090.5 140491.8  19.7 2435.4  9224.7
