# Fraction of RTTS longer than a given time for dctcp_w4 experiment
# Includes messages <= 315 bytes; measured at 2026-04-21 06:18:30.816128
# Averaged across 5 repeated sample(s)
# Data collected at 2026-04-21 06:18:30.816128 
#       usec        frac
      29.950  0.99999402
      30.490  0.99998791
      30.980  0.99996992
      31.360  0.99994568
      31.840  0.99991549
      32.220  0.99988525
      32.550  0.99983679
      32.880  0.99980010
      33.250  0.99974570
      33.590  0.99963087
      33.940  0.99953435
      34.280  0.99942507
      34.640  0.99922986
      34.990  0.99901031
      35.340  0.99883476
      35.700  0.99858557
      36.060  0.99834318
      36.430  0.99806460
      36.800  0.99762880
      37.180  0.99724049
      37.560  0.99685742
      37.940  0.99646355
      38.320  0.99588136
      38.710  0.99535469
      39.100  0.99479686
      39.500  0.99414200
      39.900  0.99366281
      40.300  0.99301271
      40.710  0.99236377
      41.120  0.99168794
      41.540  0.99106162
      41.960  0.99038027
      42.380  0.98963442
      42.810  0.98897226
      43.240  0.98816426
      43.680  0.98750830
      44.120  0.98668213
      44.570  0.98591661
      45.020  0.98529725
      45.480  0.98439484
      45.940  0.98336976
      46.400  0.98241095
      46.870  0.98134826
      47.340  0.98014754
      47.820  0.97886489
      48.300  0.97750353
      48.790  0.97600806
      49.280  0.97427595
      49.780  0.97236362
      50.280  0.97028337
      50.790  0.96826722
      51.300  0.96601230
      51.820  0.96358173
      52.340  0.96112414
      52.870  0.95864855
      53.400  0.95587827
      53.940  0.95309314
      54.480  0.95027386
      55.030  0.94749163
      55.590  0.94432126
      56.150  0.94158383
      56.720  0.93834269
      57.290  0.93544823
      57.870  0.93264385
      58.450  0.92982670
      59.040  0.92687852
      59.640  0.92420749
      60.240  0.92129791
      60.850  0.91876956
      61.460  0.91598306
      62.080  0.91336589
      62.710  0.91112179
      63.340  0.90845701
      63.980  0.90582402
      64.620  0.90343010
      65.270  0.90086633
      65.930  0.89853014
      66.590  0.89616809
      67.260  0.89391918
      67.940  0.89153882
      68.620  0.88899396
      69.310  0.88677364
      70.010  0.88452700
      70.720  0.88225767
      71.430  0.88018050
      72.150  0.87784202
      72.880  0.87537266
      73.610  0.87320579
      74.350  0.87114456
      75.100  0.86891560
      75.860  0.86661015
      76.620  0.86416421
      77.390  0.86187184
      78.170  0.85960012
      78.960  0.85747314
      79.750  0.85527589
      80.550  0.85279612
      81.360  0.85060231
      82.180  0.84836380
      83.010  0.84610059
      83.850  0.84411803
      84.690  0.84175226
      85.540  0.83957346
      86.400  0.83722924
      87.270  0.83499341
      88.150  0.83258864
      89.040  0.83025620
      89.940  0.82800214
      90.840  0.82543206
      91.750  0.82308883
      92.670  0.82084897
      93.600  0.81837550
      94.540  0.81613963
      95.490  0.81378061
      96.450  0.81164370
      97.420  0.80920961
      98.400  0.80679086
      99.390  0.80436095
     100.400  0.80187431
     101.410  0.79947490
     102.430  0.79690544
     103.460  0.79448378
     104.500  0.79202516
     105.550  0.78963768
     106.610  0.78707619
     107.680  0.78465072
     108.760  0.78228170
     109.850  0.77976738
     110.950  0.77722190
     112.070  0.77466287
     113.200  0.77222604
     114.340  0.76969593
     115.490  0.76692930
     116.650  0.76440719
     117.820  0.76178994
     119.010  0.75948072
     120.210  0.75708093
     121.420  0.75441551
     122.640  0.75188252
     123.870  0.74927002
     125.110  0.74675688
     126.370  0.74396541
     127.640  0.74129867
     128.920  0.73848564
     130.210  0.73577628
     131.520  0.73276993
     132.840  0.72999433
