# Digested data for homa_w4 experiment, run at 2026-04-21 06:18:30.816128
# Averaged across 1 repeated sample(s)
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
      72  0.004350      943    94.2    360.6   2174.2   5.5   21.1   127.1
      92  0.007700      726    91.8    317.7    576.6   5.6   19.3    35.1
     154  0.011893      909    94.0    396.1   1403.3   5.9   25.0    86.8
     222  0.017393     1192    96.6    395.7   1821.0   6.1   25.0   115.8
     227  0.019935      551    97.4    328.6    376.1   6.2   21.1    24.1
     232  0.022444      544    87.8    324.4    877.0   5.6   20.9    56.4
     237  0.024876      527    93.6    304.5   1122.0   6.1   19.8    72.9
     243  0.027496      568    97.5    372.8    597.7   6.4   24.5    39.2
     248  0.030177      581    97.6    351.5   1979.4   6.5   23.3   131.1
     254  0.032755      559    91.9    381.2   2796.7   6.1   25.3   185.6
     259  0.035394      572    91.9    332.4    515.8   6.1   22.0    34.2
     265  0.038089      584    95.3    444.8   1036.9   6.3   29.4    68.4
     271  0.040654      556    93.4    394.7    433.1   6.2   26.1    28.7
     279  0.044132      754    95.4    408.1   1459.5   6.4   27.2    97.3
     288  0.047546      740    94.6    280.7   1302.5   6.3   18.7    86.9
     297  0.050789      703    94.9    320.3    422.7   6.3   21.4    28.2
     303  0.060888     2189    94.1    319.6    597.0   6.3   21.3    39.8
     305  0.069063     1772    95.8    394.6    714.0   6.4   26.3    47.6
     308  0.077741     1881    95.0    403.5    744.5   6.3   26.9    49.6
     310  0.086687     1939    96.3    318.0    572.5   6.4   21.2    38.2
     313  0.095037     1810    93.4    360.7   1086.1   6.2   24.1    72.6
     315  0.103729     1884    96.0    349.2   1107.8   6.4   23.2    73.7
     318  0.112024     1798    96.2    356.3   1380.6   6.4   23.6    91.3
     321  0.120425     1821    92.9    318.3    688.5   6.1   21.1    45.6
     323  0.128816     1819    94.0    324.5    581.1   6.2   21.4    38.4
     326  0.136973     1768    95.9    324.3   2035.8   6.4   21.5   134.9
     331  0.143441     1402    95.0    333.7    486.9   6.2   21.9    32.0
     335  0.149720     1361    93.2    375.1    644.7   6.1   24.7    42.5
     340  0.156502     1470    94.1    317.1   1192.4   6.2   21.0    79.1
