# Fraction of RTTS longer than a given time for homa_w4 experiment
# Includes messages <= 315 bytes; measured at 2026-04-21 06:18:30.816128
# Averaged across 1 repeated sample(s)
# Data collected at 2026-04-21 06:18:30.816128 
#       usec        frac
      21.780  0.99995552
      22.050  0.99982210
      22.310  0.99964419
      22.720  0.99955524
      23.150  0.99933286
      23.500  0.99897705
      23.740  0.99875467
      23.980  0.99866572
      24.230  0.99844334
      24.490  0.99817648
      24.800  0.99799858
      25.100  0.99759829
      25.400  0.99724248
      25.680  0.99657534
      25.940  0.99617506
      26.200  0.99541896
      26.480  0.99461840
      26.750  0.99355097
      27.040  0.99257250
      27.320  0.99159402
      27.600  0.99052660
      27.880  0.98923679
      28.170  0.98808041
      28.460  0.98679061
      28.750  0.98487814
      29.060  0.98332147
      29.370  0.98118662
      29.670  0.97936310
      29.970  0.97753958
      30.280  0.97607187
      30.590  0.97433731
      30.900  0.97193560
      31.210  0.97002313
      31.530  0.96779932
      31.850  0.96521971
      32.170  0.96317381
      32.500  0.96081658
      32.830  0.95823697
      33.160  0.95610212
      33.500  0.95370041
      33.840  0.95054261
      34.180  0.94765166
      34.530  0.94489415
      34.890  0.94204768
      35.240  0.93933464
      35.600  0.93586550
      35.960  0.93306351
      36.320  0.93008362
      36.690  0.92781534
      37.060  0.92425725
      37.440  0.92087707
      37.820  0.91829746
      38.200  0.91460594
      38.590  0.91113681
      39.000  0.90806796
      39.400  0.90504359
      39.810  0.90224159
      40.210  0.89935065
      40.620  0.89628180
      41.030  0.89343533
      41.470  0.89067782
      41.890  0.88836506
      42.310  0.88569650
      42.740  0.88253869
      43.180  0.88018146
      43.620  0.87737947
      44.070  0.87417719
      44.520  0.87128625
      44.970  0.86835083
      45.420  0.86497065
      45.880  0.86194627
      46.340  0.85905533
      46.810  0.85545277
      47.300  0.85238392
      47.790  0.84900374
      48.270  0.84553460
      48.760  0.84153176
      49.250  0.83850738
      49.750  0.83512720
      50.260  0.83196940
      50.770  0.82885608
      51.280  0.82520904
      51.800  0.82200676
      52.320  0.81818182
      52.850  0.81475716
      53.380  0.81093222
      53.920  0.80768547
      54.470  0.80408290
      55.020  0.80021349
      55.580  0.79665540
      56.140  0.79243017
      56.710  0.78851628
      57.290  0.78469134
      57.870  0.78104430
      58.450  0.77704145
      59.040  0.77299413
      59.640  0.76819071
      60.240  0.76392101
      60.850  0.75889521
      61.470  0.75462551
      62.090  0.74964419
      62.720  0.74519658
      63.350  0.74048212
      63.990  0.73554528
      64.630  0.73105319
      65.290  0.72611635
      65.950  0.72149084
      66.630  0.71655399
      67.300  0.71192848
      67.980  0.70592421
      68.670  0.69929728
      69.370  0.69440491
      70.070  0.68840064
      70.780  0.68235189
      71.490  0.67719267
      72.220  0.67158869
      72.950  0.66660737
      73.680  0.66082548
      74.420  0.65513254
      75.170  0.64872798
      75.860  0.64223448
      76.610  0.63578545
      77.380  0.63035937
      78.160  0.62568938
      78.950  0.62004092
      79.740  0.61412560
      80.470  0.60794343
      81.250  0.60185020
      82.030  0.59580146
      82.690  0.58984167
      83.440  0.58392635
      84.180  0.57805551
      85.000  0.57227362
      85.660  0.56653620
      86.420  0.56084327
      87.200  0.55519481
      87.900  0.54963530
      88.640  0.54412026
      89.400  0.53864971
      90.160  0.53322363
      90.810  0.52788650
      91.570  0.52259384
      92.230  0.51734567
      93.000  0.51214197
      93.720  0.50698274
      94.410  0.50191247
      95.120  0.49688667
      95.820  0.49190535
      96.530  0.48696851
      97.160  0.48207614
      97.750  0.47722825
      98.360  0.47242484
      99.090  0.46766590
      99.870  0.46295143
     100.420  0.45828144
     101.030  0.45365593
     101.740  0.44911937
     102.360  0.44462729
     102.910  0.44017968
     103.680  0.43577655
     104.200  0.43141790
     104.790  0.42705924
     105.390  0.42274506
     106.070  0.41847536
     106.760  0.41425013
     107.440  0.41006938
     108.090  0.40593311
     108.600  0.40184131
     109.240  0.39779399
     109.830  0.39379114
     110.480  0.38983277
     111.130  0.38591888
     111.750  0.38204946
     112.230  0.37822452
     112.840  0.37439957
     113.510  0.37061911
     114.180  0.36688312
     114.770  0.36319160
     115.470  0.35954457
     116.040  0.35594200
     116.530  0.35233944
     117.100  0.34878136
     117.700  0.34526775
     118.300  0.34179861
     118.810  0.33837395
     119.410  0.33494930
     120.050  0.33156912
     120.460  0.32823341
     120.970  0.32494218
     121.580  0.32165095
     122.080  0.31840420
     122.640  0.31520192
     123.310  0.31204412
     123.910  0.30888632
     124.340  0.30577299
     124.870  0.30270415
     125.420  0.29963530
     126.100  0.29661092
     126.640  0.29363103
     127.130  0.29065113
     127.720  0.28771571
     128.200  0.28482476
     128.670  0.28193382
     129.150  0.27908735
     129.800  0.27628536
     130.490  0.27348337
     131.090  0.27072585
     131.710  0.26801281
     132.190  0.26529977
     132.640  0.26263120
     133.180  0.25996264
     133.620  0.25733855
     134.150  0.25475894
     134.680  0.25217933
     135.200  0.24964419
     135.660  0.24710906
     136.190  0.24461840
     136.560  0.24212774
     137.130  0.23968155
     137.580  0.23727984
     138.240  0.23487814
     138.770  0.23252090
     139.250  0.23016367
     139.740  0.22785092
     140.220  0.22553816
     140.690  0.22326988
     141.400  0.22100160
     141.900  0.21877780
     142.620  0.21655399
     143.250  0.21437467
     143.850  0.21219534
     144.300  0.21006049
     144.720  0.20792564
     145.320  0.20583526
     145.880  0.20374489
     146.380  0.20169899
     146.910  0.19965309
     147.340  0.19765166
     147.840  0.19565024
     148.330  0.19369329
     148.770  0.19173635
     149.350  0.18977940
     149.790  0.18786693
     150.270  0.18595446
     150.830  0.18408646
     151.360  0.18221847
     151.890  0.18039495
     152.290  0.17857143
     152.750  0.17674791
     153.500  0.17496887
     153.960  0.17318982
     154.460  0.17145526
     155.130  0.16972069
     155.620  0.16798612
     156.150  0.16629603
     156.610  0.16460594
     157.290  0.16291585
     157.890  0.16127024
     158.430  0.15962462
     159.100  0.15802348
     159.660  0.15642234
     160.150  0.15482121
     160.450  0.15326454
