# Fraction of RTTS longer than a given time for dctcp_static_o50_w4 experiment
# Includes messages <= 315 bytes; measured at 2026-04-21 06:28:13.551056
# Averaged across 1 repeated sample(s)
# Data collected at 2026-04-21 06:28:13.551056 
#       usec        frac
      32.300  0.99992448
      32.900  0.99977343
      33.260  0.99947134
      33.730  0.99909372
      34.080  0.99856506
      34.440  0.99728117
      34.790  0.99607280
      35.140  0.99433578
      35.500  0.99222113
      35.860  0.98957783
      36.220  0.98587720
      36.590  0.97998641
      36.970  0.97349143
      37.340  0.96790273
      37.720  0.95936863
      38.090  0.94970168
      38.370  0.94018579
      38.680  0.93074541
      38.970  0.92138056
      39.240  0.91209123
      39.530  0.90295295
      39.790  0.89389019
      40.050  0.88490295
      40.270  0.87599124
      40.510  0.86723057
      40.710  0.85854543
      40.960  0.84993581
      41.210  0.84140171
      41.470  0.83294313
      41.680  0.82456008
      41.910  0.81625255
      42.100  0.80802054
      42.310  0.79993958
      42.510  0.79193414
      42.760  0.78400423
      42.980  0.77614984
      43.210  0.76837097
      43.480  0.76066762
      43.690  0.75303980
      43.930  0.74548750
      44.150  0.73801072
      44.410  0.73060947
      44.640  0.72328374
      44.920  0.71603353
      45.140  0.70885885
      45.420  0.70175969
      45.690  0.69473605
      45.960  0.68778793
      46.200  0.68083982
      46.470  0.67396722
      46.760  0.66717015
      47.000  0.66044861
      47.240  0.65380258
      47.500  0.64723208
      47.780  0.64073710
      48.030  0.63431765
      48.310  0.62797372
      48.630  0.62162979
      48.940  0.61536138
      49.190  0.60916849
      49.430  0.60305113
      49.710  0.59700929
      49.950  0.59096745
      50.240  0.58500113
      50.470  0.57911034
      50.700  0.57329507
      50.930  0.56755532
      51.180  0.56181557
      51.440  0.55615135
      51.690  0.55056265
      51.910  0.54504947
      52.160  0.53953629
      52.420  0.53409863
      52.660  0.52873650
      52.890  0.52337437
      53.170  0.51808776
      53.370  0.51287667
      53.640  0.50774111
      53.890  0.50260554
      54.100  0.49754550
      54.350  0.49256098
      54.610  0.48757647
      54.870  0.48266747
      55.080  0.47783400
      55.270  0.47300053
      55.500  0.46824258
      55.700  0.46348463
      55.990  0.45880221
      56.180  0.45419530
      56.440  0.44958840
      56.660  0.44505702
      56.910  0.44060116
      57.190  0.43614531
      57.470  0.43176497
      57.660  0.42738464
      57.860  0.42307983
      58.080  0.41877502
      58.310  0.41454573
      58.580  0.41039196
      58.840  0.40623820
      59.100  0.40215996
      59.390  0.39808172
      59.660  0.39407900
      59.910  0.39007628
      60.150  0.38614908
      60.450  0.38222189
      60.680  0.37837021
      61.000  0.37451854
      61.210  0.37074239
      61.470  0.36696624
      61.690  0.36326561
      62.020  0.35956499
      62.240  0.35593988
      62.540  0.35231478
      62.790  0.34876520
      63.080  0.34521562
      63.330  0.34174156
      63.590  0.33826750
      63.830  0.33486897
      64.100  0.33147043
      64.450  0.32814742
      64.710  0.32482441
      64.990  0.32150140
      65.280  0.31825391
      65.520  0.31500642
      65.890  0.31183445
      66.180  0.30866249
      66.570  0.30556604
