# Fraction of RTTS longer than a given time for dctcp_tfo_w4 experiment
# Includes messages <= 315 bytes; measured at 2026-04-20 22:21:13.537072
# Averaged across 1 repeated sample(s)
# Data collected at 2026-04-20 22:21:13.537072 
#       usec        frac
     114.700  0.99985822
     147.480  0.99971643
     151.420  0.99957465
     169.020  0.99943287
     197.130  0.99929108
     266.320  0.99914930
     286.270  0.99900751
     307.130  0.99886573
     314.170  0.99872395
     317.780  0.99858216
     324.860  0.99844038
     347.200  0.99829860
     359.270  0.99815681
     363.570  0.99801503
     367.960  0.99787325
     395.580  0.99773146
     410.480  0.99744789
     417.870  0.99716433
     424.360  0.99702254
     430.910  0.99688076
     452.350  0.99673898
     459.100  0.99645541
     474.460  0.99631363
     479.720  0.99617184
     504.600  0.99588827
     522.260  0.99574649
     528.080  0.99546292
     535.700  0.99503757
     548.560  0.99489579
     559.310  0.99475401
     568.080  0.99447044
     574.290  0.99432865
     580.430  0.99404509
     609.650  0.99390330
     620.220  0.99376152
     637.730  0.99361974
     648.430  0.99347795
     665.580  0.99319439
     672.290  0.99291082
     720.110  0.99276903
     749.510  0.99262725
     766.990  0.99248547
     789.290  0.99206012
     801.820  0.99177655
     833.240  0.99149298
     843.120  0.99120941
     860.350  0.99064228
     879.520  0.99050050
     895.260  0.99021693
     910.680  0.99007515
     937.970  0.98993336
     951.330  0.98979158
     965.910  0.98950801
     978.780  0.98936623
    1008.310  0.98908266
    1032.110  0.98865731
    1052.370  0.98851553
    1063.690  0.98809017
    1080.120  0.98780661
    1091.360  0.98766482
    1106.400  0.98752304
    1122.460  0.98738126
    1145.180  0.98723947
    1159.530  0.98695591
    1189.520  0.98681412
    1202.370  0.98653055
    1223.420  0.98610520
    1241.400  0.98582164
    1279.060  0.98539629
    1298.860  0.98525450
    1314.050  0.98482915
    1338.250  0.98468737
    1354.970  0.98440380
    1370.030  0.98397845
    1428.500  0.98383667
    1459.990  0.98355310
    1492.950  0.98312775
    1517.060  0.98284418
    1556.120  0.98270240
    1619.230  0.98199348
    1655.770  0.98170991
    1693.220  0.98142634
    1726.990  0.98128456
    1763.260  0.98100099
    1807.580  0.98085921
    1846.640  0.98057564
    1869.690  0.98043386
    1901.740  0.98000851
    1974.960  0.97986672
    1999.770  0.97958316
    2053.390  0.97915781
    2079.290  0.97901602
    2111.840  0.97859067
    2162.010  0.97844889
    2184.550  0.97816532
    2232.430  0.97802354
    2267.190  0.97773997
    2386.250  0.97759819
    2455.850  0.97745640
    2545.870  0.97731462
    2606.080  0.97703105
    2640.560  0.97688927
    2679.840  0.97660570
    2832.120  0.97646392
    2865.780  0.97632213
    2937.150  0.97618035
    2994.930  0.97589678
    3028.280  0.97575500
    3106.250  0.97561321
    3192.200  0.97504608
    3246.890  0.97490430
    3335.120  0.97447895
    3451.250  0.97419538
    3520.700  0.97362824
    3601.490  0.97320289
    3646.690  0.97263576
    3711.680  0.97235219
    3797.390  0.97178506
    3850.570  0.97164327
    3897.300  0.97093435
    3946.600  0.97022544
    3986.230  0.96937473
    4038.540  0.96838225
    4080.700  0.96738976
    4123.620  0.96568836
    4172.050  0.96540479
    4217.170  0.96427052
    4261.750  0.96327804
    4306.200  0.96214377
    4355.270  0.96086772
    4403.600  0.95916631
    4448.680  0.95774848
    4496.560  0.95675599
    4543.980  0.95547994
    4590.090  0.95377853
    4636.080  0.95221891
    4689.330  0.95065929
    4738.930  0.94909967
    4787.050  0.94839076
    4835.120  0.94697292
    4886.070  0.94555508
    4944.770  0.94413725
    4994.370  0.94215228
    5047.110  0.94030909
    5107.190  0.93874947
    5162.110  0.93633915
    5218.750  0.93520488
    5284.020  0.93265277
    5341.890  0.93066780
    5401.490  0.92882461
    5458.420  0.92754856
    5520.490  0.92613072
    5585.750  0.92428754
    5645.690  0.92315327
    5704.060  0.92173543
    5768.110  0.92045938
    5832.490  0.91861619
    5891.160  0.91677300
    5951.790  0.91507160
    6035.910  0.91422090
    6109.630  0.91322841
    6180.200  0.91223593
    6249.930  0.91053452
    6316.360  0.90954204
    6381.790  0.90812420
    6454.810  0.90656458
    6520.800  0.90599745
    6590.380  0.90528853
    6691.360  0.90415426
    6785.710  0.90273642
    6860.080  0.90160216
    6937.450  0.90089324
    7009.510  0.90018432
    7088.570  0.89890827
    7160.110  0.89805756
    7236.070  0.89734865
    7317.500  0.89607259
    7400.800  0.89522189
    7477.930  0.89465476
    7573.610  0.89394584
    7662.700  0.89281157
    7758.520  0.89224443
    7843.970  0.89011768
    7924.910  0.88912519
    8006.520  0.88799093
    8116.340  0.88699844
    8206.770  0.88543882
    8289.260  0.88274493
    8396.900  0.88090174
    8491.370  0.87863321
    8592.390  0.87693180
    8681.880  0.87523040
    8796.520  0.87352899
    8896.450  0.87182759
    8985.630  0.86970084
    9083.680  0.86814122
    9184.510  0.86615625
    9284.900  0.86360414
    9382.180  0.86076847
    9476.250  0.85892528
    9573.400  0.85580604
    9669.980  0.85424642
    9779.700  0.85226145
    9877.740  0.85098540
    9987.370  0.84814972
   10090.760  0.84531405
   10191.800  0.84318730
   10297.580  0.84148589
   10410.950  0.83950092
   10517.970  0.83737417
   10624.980  0.83468028
   10732.670  0.83283709
   10844.950  0.83028499
   10968.500  0.82858358
   11091.190  0.82645683
   11204.060  0.82475542
   11317.940  0.82333759
   11443.370  0.82177797
   11605.100  0.82007656
   11725.900  0.81766624
   11848.420  0.81511414
   11986.320  0.81341273
   12136.390  0.81114419
   12268.780  0.80915922
   12391.920  0.80703247
   12526.050  0.80433858
   12651.850  0.80263718
   12801.170  0.79965972
   12940.000  0.79597334
   13071.120  0.79214519
   13205.930  0.79001843
   13341.680  0.78689919
   13486.590  0.78477244
   13628.630  0.78278747
   13774.010  0.78009358
   13913.200  0.77669077
   14054.060  0.77385510
   14209.450  0.77101942
   14355.250  0.76832554
   14500.390  0.76605700
   14648.000  0.76322132
   14810.220  0.75953495
   14960.340  0.75655749
   15118.140  0.75343825
   15275.590  0.75102793
   15439.670  0.74847583
   15599.250  0.74507302
   15762.030  0.74167021
   15928.130  0.73911811
   16090.850  0.73727492
   16257.890  0.73387211
   16430.820  0.73089465
   16598.010  0.72749185
   16764.680  0.72408904
   16936.110  0.72011910
   17112.590  0.71714164
   17295.370  0.71373883
   17482.800  0.71090316
   17662.160  0.70962711
   17839.270  0.70622430
   18021.970  0.70296328
   18210.130  0.69856799
   18400.380  0.69544875
   18594.390  0.69289664
   18783.340  0.69006097
   18975.320  0.68793421
   19170.490  0.68467319
   19371.590  0.68212108
   19569.140  0.67971076
   19770.040  0.67630795
   19999.400  0.67262158
   20209.640  0.66950234
   20429.080  0.66652488
   20635.040  0.66269672
   20844.290  0.65901035
   21055.110  0.65645824
   21270.220  0.65404792
   21483.030  0.65064512
   21701.290  0.64795123
   21923.550  0.64383950
   22154.070  0.63986956
   22376.520  0.63618318
   22603.210  0.63306394
