# Digested data for unloaded_w4 experiment, run at 2026-04-20 22:21:13.537072
# Averaged across 1 repeated sample(s)
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
      60  0.006027      500    17.6     45.6  15636.5   1.0    2.6   887.4
      72  0.012054      500    17.1     34.4     35.3   1.0    2.0     2.1
      92  0.018081      500    17.1     38.4  15530.2   1.0    2.2   909.3
     119  0.024108      500    17.8  14866.1  15648.9   1.0  837.5   881.6
     154  0.030135      500    17.9     39.3  15343.0   1.0    2.2   857.6
     199  0.036162      500    17.7     47.0  15465.3   1.0    2.7   875.7
     222  0.042189      500    17.6     43.4  15701.0   1.0    2.5   894.6
     227  0.048216      500    17.7     38.2  25420.1   1.0    2.2  1439.4
     232  0.054243      500    17.7     47.0  15506.2   1.0    2.7   878.0
     237  0.060270      500    17.5     91.0  15242.1   1.0    5.2   873.0
     243  0.066297      500    17.5  14853.6  15707.1   1.0  849.7   898.6
     248  0.072324      500    17.9     50.5  15383.8   1.0    2.8   857.5
     254  0.078351      500    17.8     37.3     44.1   1.0    2.1     2.5
     259  0.084378      500    17.5     35.4     43.2   1.0    2.0     2.5
     265  0.090405      500    17.9     68.6  15796.5   1.0    3.8   881.5
     271  0.096432      500    17.9     49.0  14905.5   1.0    2.7   831.3
     279  0.102459      500    17.4     36.8  14715.1   1.0    2.1   844.7
     288  0.108486      500    17.1     35.5  15040.4   1.0    2.1   879.0
     297  0.114513      500    16.9     34.8     42.4   1.0    2.1     2.5
     303  0.120540      500    16.7     40.5  14981.6   1.0    2.4   896.0
     305  0.126567      500    16.7     35.0  15262.8   1.0    2.1   916.1
     308  0.132594      500    16.8    240.6  15528.2   1.0   14.4   927.1
     310  0.138621      500    16.3     37.0  15217.1   1.0    2.3   932.4
     313  0.144648      500    16.1     37.2    220.8   1.0    2.3    13.7
     315  0.150675      500    15.9     48.1  15610.8   1.0    3.0   980.0
     318  0.156702      500    16.0     35.4  15645.2   1.0    2.2   980.3
     321  0.162729      500    15.9     32.9     47.2   1.0    2.1     3.0
     323  0.168756      500    15.8     32.7  14713.7   1.0    2.1   932.4
     326  0.174783      500    15.8     33.4  15237.4   1.0    2.1   962.6
     331  0.180810      500    16.2     41.9  15534.5   1.0    2.6   958.3
     335  0.186837      500    15.9     36.4  14916.1   1.0    2.3   936.9
     340  0.192864      500    16.0     53.3  15203.9   1.0    3.3   947.9
     345  0.198891      500    15.9     33.5  14704.0   1.0    2.1   922.5
     350  0.204918      500    16.2     50.4  15343.4   1.0    3.1   948.3
     355  0.210945      500    16.0     53.3  14974.8   1.0    3.3   936.5
     360  0.216972      500    15.9     36.2  15067.2   1.0    2.3   944.7
     365  0.222999      500    16.0     34.2  15643.8   1.0    2.1   976.5
     371  0.229026      500    16.0  14945.5  15503.9   1.0  933.5   968.4
     376  0.235053      500    16.3     42.7  15289.3   1.0    2.6   939.1
     385  0.241080      500    16.9     39.8  15596.5   1.0    2.4   922.3
     395  0.247107      500    16.9     36.3  15406.5   1.0    2.1   910.0
     405  0.253134      500    17.0  14886.4  15778.6   1.0  874.6   927.1
     415  0.259161      500    17.1     37.0  15304.5   1.0    2.2   896.6
     425  0.265188      500    17.2     35.4    221.4   1.0    2.1    12.9
     430  0.271215      500    17.2     36.8  15479.7   1.0    2.1   901.6
     435  0.277242      500    16.8     33.9     50.4   1.0    2.0     3.0
     441  0.283269      500    16.6     34.4  14804.2   1.0    2.1   891.3
     446  0.289296      500    16.4     54.3  15659.4   1.0    3.3   956.0
     452  0.295323      500    16.6     35.4    231.1   1.0    2.1    13.9
     457  0.301350      500    16.4     33.4     43.2   1.0    2.0     2.6
     463  0.307377      500    16.3     37.0  15705.7   1.0    2.3   963.5
     468  0.313404      500    16.3     40.1  15445.2   1.0    2.5   947.6
     474  0.319431      500    16.2     33.1  15474.9   1.0    2.0   957.0
     480  0.325458      500    16.1     40.0  15711.9   1.0    2.5   974.1
     491  0.331485      500    16.2     36.4  26060.8   1.0    2.2  1603.7
     502  0.337512      500    16.4     38.2  15834.6   1.0    2.3   963.2
     513  0.343539      500    16.3     34.8  15508.1   1.0    2.1   952.0
     525  0.349566      500    16.1     46.2  15466.3   1.0    2.9   960.0
     537  0.355593      500    15.8     52.9  15333.6   1.0    3.3   968.0
     549  0.361620      500    16.1     53.7  15674.9   1.0    3.3   973.0
     561  0.367647      500    16.1     39.0  15309.5   1.0    2.4   949.1
     574  0.373674      500    16.0     38.6  15672.6   1.0    2.4   980.8
     587  0.379701      500    16.0     53.8  15516.8   1.0    3.4   968.0
     600  0.385728      500    16.2     44.9  15687.3   1.0    2.8   970.7
     607  0.391755      500    16.0     38.4  15201.6   1.0    2.4   951.9
     615  0.397782      500    15.9     44.9  15595.4   1.0    2.8   981.5
     623  0.403809      500    16.0     41.2  15804.9   1.0    2.6   988.4
     630  0.409836      500    15.8     40.9  15103.5   1.0    2.6   952.9
     638  0.415863      500    15.8     35.2  15316.8   1.0    2.2   967.0
     646  0.421890      500    15.9     31.9     33.5   1.0    2.0     2.1
     654  0.427917      500    16.1     37.9  15256.3   1.0    2.4   950.6
     662  0.433944      500    16.0     33.7  14734.2   1.0    2.1   919.7
     671  0.439971      500    16.1     34.7  14656.6   1.0    2.2   913.2
     679  0.445998      500    16.3     49.6  15639.3   1.0    3.1   961.8
     685  0.452025      500    16.4     38.2  15317.9   1.0    2.3   934.0
     690  0.458052      500    16.8     66.0  15653.2   1.0    3.9   934.5
     696  0.464079      500    17.1     36.5  15732.4   1.0    2.1   917.9
     702  0.470106      500    17.2     34.5  14771.8   1.0    2.0   858.8
     707  0.476133      500    17.3     35.2  15502.7   1.0    2.0   896.6
