# Digested data for dctcp_w4 experiment, run at 2026-04-20 23:51:43.674257
# Averaged across 1 repeated sample(s)
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
      72  0.004825      588 26067.1 110605.8 1129597.8 1589.9 6774.1 67762.3
     119  0.009739      599 26526.6 109103.0 140396.4 1659.7 6870.5  8841.1
     199  0.014343      561 26941.4 102304.7 1034939.0 1712.7 6503.8 65794.0
     227  0.020718      777 26779.1 107010.4 151048.8 1741.1 6947.8  9859.6
     237  0.025781      617 27394.4  97769.4 1065039.2 1805.8 6444.9 69747.2
     248  0.031171      657 25532.0  91922.2 165426.1 1696.4 6129.1 11057.9
     259  0.036258      620 27286.4  99143.3 1049000.1 1827.6 6640.5 70261.2
     271  0.041206      603 26495.4  91570.8 154091.4 1774.6 6153.9 10355.6
     288  0.047524      770 27044.3 107347.8 338920.6 1815.1 7204.6 22715.9
     303  0.060661     1601 27249.9 102433.5 1066116.0 1826.9 6879.4 71407.6
     305  0.069309     1054 27127.9 117507.6 1049399.5 1810.9 7844.3 70053.4
     308  0.077982     1057 27243.5  90064.9 128668.7 1822.3 6024.4  8606.6
     310  0.086351     1020 27114.0 100037.9 267987.2 1821.0 6718.5 17997.8
     313  0.094917     1044 27405.8 106260.0 1040169.7 1838.1 7126.8 69763.2
     315  0.103647     1064 26451.2 108285.5 137642.0 1771.7 7252.9  9219.2
     318  0.112435     1071 26643.2 106900.7 148772.2 1785.7 7164.9  9971.3
     321  0.121288     1079 27255.8  94066.4 1068663.8 1830.5 6317.4 71770.6
     323  0.129584     1011 27251.0 105092.2 176260.9 1827.7 7048.4 11821.7
     326  0.138174     1047 27697.9 106828.0 169750.7 1852.7 7145.7 11354.6
     331  0.144829      811 27912.7 106072.1 1053541.8 1852.2 7038.6 69909.9
     335  0.151032      756 26205.4 105818.6 127191.8 1759.9 7106.7  8542.1
     340  0.157259      759 26363.0 103250.0 125130.3 1763.4 6906.4  8369.9
     345  0.163824      800 25865.8 102306.7 143150.7 1729.0 6838.7  9568.9
     350  0.170412      803 26667.7 102732.7 169495.5 1788.6 6890.2 11367.9
     355  0.177165      823 27069.7  97603.4 150835.6 1807.1 6515.6 10069.1
     360  0.183746      802 26605.4 105642.0 129439.4 1772.5 7038.1  8623.5
     365  0.190006      763 24945.0 104140.7 175915.4 1659.7 6928.9 11704.3
     371  0.196628      807 26942.3 108800.0 120349.1 1776.0 7172.1  7933.4
     376  0.203085      787 26277.4 107910.3 383324.3 1739.1 7141.7 25368.9
     395  0.211200      989 28406.9 105239.5 162186.0 1891.4 7011.3 10798.0
     415  0.219003      951 26672.2 100035.2 1092931.6 1781.8 6673.5 73105.8
     430  0.226831      954 26866.0  99844.3 1067207.6 1795.6 6674.1 71337.4
     441  0.234790      970 26686.2  98244.5 1053000.1 1786.2 6558.4 70293.7
     452  0.242642      957 25724.5  92748.7 119320.2 1704.7 6146.4  7907.2
     457  0.247073      540 26243.3 117831.4 1053536.0 1746.1 7839.7 70095.5
     463  0.251216      505 26198.2 102181.7 133105.8 1739.6 6785.0  8838.4
     468  0.255499      522 26582.3 103350.2 179682.0 1773.3 6894.6 11986.8
     480  0.263713     1001 25506.1  99658.7 118941.2 1703.8 6657.2  7924.1
     491  0.283897     2460 25868.2 109640.2 155544.1 1703.0 7217.9 10239.9
     502  0.304049     2456 27266.4 104960.2 142088.8 1808.1 6960.2  9422.3
     513  0.324037     2436 26339.0 107609.4 192849.0 1740.8 7112.3 12746.1
     525  0.344008     2434 27043.4 106455.7 1047117.2 1787.4 7036.1 69208.0
     537  0.363971     2433 26263.0  97227.7 147840.3 1740.4 6443.2  9797.2
     549  0.383417     2370 26672.3  99381.8 145290.1 1764.0 6572.9  9609.1
     561  0.402716     2352 26471.3 101003.7 128175.8 1756.6 6702.3  8505.4
     574  0.422302     2387 26911.0 108337.8 166614.0 1776.3 7151.0 10997.6
     587  0.442232     2429 27511.3 104936.0 153327.8 1815.9 6926.5 10120.6
     600  0.461169     2308 26634.3 102261.9 1053883.6 1760.4 6758.9 69655.2
     607  0.466642      667 27492.8 104417.0 148540.5 1812.3 6883.1  9791.7
     615  0.472328      693 25972.2  96389.0 1047857.3 1710.9 6349.7 69028.8
     623  0.478154      710 26373.0 109154.0 1048933.7 1712.5 7087.9 68112.6
     630  0.484283      747 26213.3 117440.1 177419.8 1705.5 7640.9 11543.3
     638  0.490117      711 26442.2 107457.8 149040.9 1731.6 7037.2  9760.4
     646  0.496139      734 26169.5 107476.6 1056676.2 1704.9 7001.7 68838.8
     654  0.501662      673 26897.4 106564.5 129959.6 1753.4 6946.8  8471.9
     662  0.507249      681 25799.0 103916.5 137491.5 1688.4 6800.8  8998.1
     671  0.513108      714 26949.6 103549.5 156963.1 1760.3 6763.5 10252.3
     679  0.518983      716 26365.1 100484.7 1033407.3 1725.5 6576.2 67631.4
     690  0.526326      895 27101.6 110957.2 145223.3 1766.7 7233.2  9467.0
     702  0.533842      916 26885.0 104349.4 178368.1 1752.6 6806.9 11635.2
     713  0.541268      905 25688.0 116944.6 1041059.4 1673.5 7618.5 67689.2
     725  0.548693      905 24766.4  96810.9 115163.8 1609.3 6302.8  7483.0
     737  0.555807      867 25822.0  95745.8 136116.6 1678.9 6233.4  8850.2
     749  0.560607      585 28160.5  97776.7 187237.5 1828.6 6349.1 12158.3
     762  0.565128      551 26793.9 109205.5 136431.1 1734.2 7068.3  8830.5
     774  0.569444      526 26367.7  99083.5 131978.2 1697.9 6380.1  8498.3
     787  0.574105      568 24435.8  98206.9 290440.0 1577.5 6340.0 18750.2
     800  0.579479      655 25271.2  95136.4 126728.0 1629.4 6133.9  8170.7
     833  0.585641      751 26273.1 106893.1 148434.0 1696.1 6900.8  9582.6
     867  0.591647      732 27153.1 118394.4 178864.9 1754.8 7604.0 11562.1
     914  0.598367      819 25555.7 106910.1 151412.0 1639.4 6866.4  9724.6
     976  0.605916      920 27349.5 107867.5 157964.0 1743.2 6879.3 10061.4
    1042  0.613530      928 27436.6 120172.6 1131998.8 1728.8 7591.4 71329.5
    1130  0.621054      917 26490.0 101060.1 165692.6 1666.0 6316.3 10355.8
    1226  0.628480      905 27398.0 108201.3 1055939.4 1703.2 6762.6 65996.2
    1316  0.635610      869 26490.0  99585.9 151562.0 1639.2 6139.7  9344.1
    1399  0.642265      811 26138.9 102154.2 150716.0 1595.8 6271.0  9252.1
    1484  0.647434      630 26372.1 102094.6 1078416.2 1092.9 4222.3 44691.9
    1559  0.653998      800 26700.0 110638.3 149715.2 1107.0 4587.0  6207.1
    1585  0.658281      522 26228.0 104314.4 1051539.0 1086.0 4319.4 43542.0
    1637  0.666281      975 27625.3 105020.0 1107633.3 1144.9 4352.3 45902.7
    1865  0.673346      861 27833.6 114317.8 177860.5 1157.8 4743.5  7398.5
    2412  0.679762      782 26607.0  95807.5 127139.1 1102.7 3967.2  5268.9
    3118  0.685391      686 26106.1 100811.5 122054.5 1052.1 4171.2  5085.6
    4030  0.691118      698 25360.0  92771.4 114053.9 981.0 3608.4  4408.7
    5210  0.696492      655 27414.8 104679.7 1055810.3 992.9 3813.5 38463.0
    6132  0.702121      686 25251.0 101077.8 1044634.6 459.5 3243.0 11091.9
    7217  0.708357      760 27934.0 113077.1 1106216.1 492.8 3072.5 11656.6
   10373  0.713904      676 27754.8 117329.3 175726.4 522.8 3615.5  5218.7
