# Fraction of RTTS longer than a given time for dctcp_w4 experiment
# Includes messages <= 315 bytes; measured at 2026-04-20 23:51:43.674257
# Averaged across 1 repeated sample(s)
# Data collected at 2026-04-20 23:51:43.674257 
#       usec        frac
     179.880  0.99992084
     243.920  0.99984167
     348.540  0.99976251
     387.050  0.99968334
     437.550  0.99960418
     487.900  0.99952502
     509.530  0.99936669
     532.680  0.99928752
     580.060  0.99920836
     664.530  0.99912920
     712.180  0.99897087
     739.860  0.99889170
     748.500  0.99873338
     791.620  0.99865421
     807.790  0.99857505
     842.630  0.99841672
     862.730  0.99833756
     871.800  0.99825839
     892.320  0.99817923
     911.810  0.99810006
     933.470  0.99802090
     983.850  0.99794174
    1007.610  0.99786257
    1020.770  0.99770424
    1070.020  0.99762508
    1087.210  0.99746675
    1105.980  0.99738759
    1123.510  0.99722926
    1146.960  0.99699177
    1159.660  0.99675427
    1171.430  0.99667511
    1212.500  0.99651678
    1229.830  0.99635845
    1253.910  0.99620013
    1276.480  0.99604180
    1302.480  0.99588347
    1319.640  0.99564598
    1340.120  0.99548765
    1358.180  0.99532932
    1406.520  0.99509183
    1421.740  0.99501267
    1437.310  0.99485434
    1463.560  0.99477517
    1487.080  0.99461685
    1506.960  0.99445852
    1538.700  0.99430019
    1570.430  0.99390437
    1595.010  0.99382521
    1616.450  0.99374604
    1638.140  0.99342939
    1660.210  0.99311273
    1680.180  0.99303357
    1726.520  0.99279607
    1753.500  0.99263775
    1776.410  0.99224193
    1803.140  0.99200443
    1823.840  0.99152945
    1852.900  0.99137112
    1876.610  0.99113363
    1907.290  0.99097530
    1936.110  0.99081697
    1957.930  0.99057948
    1993.060  0.99034199
    2056.200  0.99010450
    2083.750  0.98994617
    2109.530  0.98970868
    2141.310  0.98947118
    2184.040  0.98923369
    2207.090  0.98915453
    2229.500  0.98883787
    2272.620  0.98852122
    2299.480  0.98828372
    2323.590  0.98796707
    2348.660  0.98780874
    2390.470  0.98733376
    2415.780  0.98717543
    2441.670  0.98701710
    2467.410  0.98677961
    2497.100  0.98646295
    2524.880  0.98614630
    2552.300  0.98590880
    2587.010  0.98551298
    2627.700  0.98543382
    2659.880  0.98527549
    2693.980  0.98472134
    2725.730  0.98424636
    2766.130  0.98400887
    2809.620  0.98353388
    2841.410  0.98321723
    2876.800  0.98290057
    2923.380  0.98234642
    2956.300  0.98202977
    3028.540  0.98163395
    3058.920  0.98123813
    3090.350  0.98060481
    3122.560  0.98020899
    3155.110  0.97949652
    3203.490  0.97870488
    3235.670  0.97791324
    3271.510  0.97759658
    3310.210  0.97712160
    3348.700  0.97688410
    3389.080  0.97640912
    3428.470  0.97593414
    3466.510  0.97553832
    3503.850  0.97482584
    3540.710  0.97450918
    3582.580  0.97395503
    3622.010  0.97332172
    3660.080  0.97268841
    3701.700  0.97197593
    3753.310  0.97118429
    3791.250  0.97055098
    3832.920  0.97023433
    3880.520  0.96968018
    3924.420  0.96873021
    3963.780  0.96825522
    4010.310  0.96793857
    4058.030  0.96762191
    4123.660  0.96659278
    4169.640  0.96611780
    4214.240  0.96580114
    4259.560  0.96508866
    4304.450  0.96461368
    4356.310  0.96398037
    4400.620  0.96374288
    4446.390  0.96318873
    4491.040  0.96247625
    4539.890  0.96176377
    4588.150  0.96089297
    4637.020  0.96025966
    4699.280  0.95946802
    4754.390  0.95843889
    4802.920  0.95772641
    4852.670  0.95709310
    4902.110  0.95638062
    4952.420  0.95566814
    5010.140  0.95487650
    5067.160  0.95432236
    5118.900  0.95360988
    5174.610  0.95289740
    5234.600  0.95202660
    5286.990  0.95131412
    5342.760  0.95068081
    5398.110  0.94981001
    5452.720  0.94886004
    5516.460  0.94783091
    5575.820  0.94672261
    5639.980  0.94585180
    5699.820  0.94529766
    5766.530  0.94434769
    5827.930  0.94292274
    5891.690  0.94181444
    5967.150  0.94133946
    6028.740  0.94070614
    6091.200  0.93983534
    6160.000  0.93833122
    6229.050  0.93746042
    6292.870  0.93666878
    6358.030  0.93556048
    6436.150  0.93453135
    6501.010  0.93342305
    6567.010  0.93191894
    6638.630  0.93073148
    6711.340  0.92986067
    6779.770  0.92867321
    6847.990  0.92716909
    6925.300  0.92606080
    6995.700  0.92471501
    7066.190  0.92344839
    7137.500  0.92249842
    7216.070  0.92154845
    7294.600  0.92004433
    7370.240  0.91877771
    7447.990  0.91727359
    7523.630  0.91624446
    7602.070  0.91466118
    7681.690  0.91323623
    7770.210  0.91212793
    7849.800  0.91046548
    7929.510  0.90888220
    8009.580  0.90753642
    8099.000  0.90650728
    8183.030  0.90563648
    8276.500  0.90444902
    8364.310  0.90302407
    8454.010  0.90199493
    8541.570  0.90009500
    8633.070  0.89851172
    8721.060  0.89700760
    8813.710  0.89558265
    8908.720  0.89376187
    8998.640  0.89233692
    9091.860  0.89067448
    9191.310  0.88893287
    9291.430  0.88695377
    9385.150  0.88529132
    9480.380  0.88410386
    9576.640  0.88259975
    9672.740  0.88030399
    9778.250  0.87856238
    9878.430  0.87666244
    9985.150  0.87555415
   10085.220  0.87397087
   10186.580  0.87262508
   10294.570  0.87064598
   10401.340  0.86945852
   10510.850  0.86724193
   10622.510  0.86573781
   10731.330  0.86360038
   10842.040  0.86162128
   10950.960  0.85972134
   11069.620  0.85782141
   11185.600  0.85584231
   11297.700  0.85402153
   11422.910  0.85220076
   11538.050  0.85037999
   11655.500  0.84848005
   11774.490  0.84665928
   11899.110  0.84468018
   12028.540  0.84190944
   12154.220  0.83985117
   12279.560  0.83755541
   12404.700  0.83565548
   12550.780  0.83359721
   12692.590  0.83138062
   12819.840  0.82884737
   12948.650  0.82599747
   13081.260  0.82417669
