# Fraction of RTTS longer than a given time for unloaded_w4 experiment
# Includes messages <= 303 bytes; measured at 2026-04-20 23:51:43.674257
# Averaged across 1 repeated sample(s)
# Data collected at 2026-04-20 23:51:43.674257 
#       usec        frac
      14.220  0.99990000
      14.370  0.99780000
      14.510  0.98780000
      14.570  0.97790000
      14.600  0.96810000
      14.630  0.95840000
      14.660  0.94880000
      14.680  0.93930000
      14.690  0.92990000
      14.710  0.92060000
      14.730  0.91130000
      14.750  0.90210000
      14.760  0.89300000
      14.770  0.88400000
      14.780  0.87510000
      14.790  0.86630000
      14.800  0.85760000
      14.810  0.84900000
      14.830  0.84050000
      14.840  0.83200000
      14.840  0.82360000
      14.850  0.81530000
      14.860  0.80710000
      14.870  0.79900000
      14.880  0.79100000
      14.880  0.78300000
      14.890  0.77510000
      14.900  0.76730000
      14.910  0.75960000
      14.920  0.75200000
      14.930  0.74440000
      14.930  0.73690000
      14.940  0.72950000
      14.950  0.72220000
      14.950  0.71490000
      14.960  0.70770000
      14.970  0.70060000
      14.980  0.69350000
      14.980  0.68650000
      14.990  0.67960000
      15.000  0.67280000
      15.010  0.66600000
      15.020  0.65930000
      15.020  0.65270000
      15.030  0.64610000
      15.040  0.63960000
      15.050  0.63320000
      15.050  0.62680000
      15.060  0.62050000
      15.070  0.61420000
      15.070  0.60800000
      15.080  0.60190000
      15.090  0.59580000
      15.090  0.58980000
      15.100  0.58390000
      15.110  0.57800000
      15.110  0.57220000
      15.120  0.56640000
      15.120  0.56070000
      15.130  0.55500000
      15.140  0.54940000
      15.150  0.54390000
      15.150  0.53840000
      15.160  0.53300000
      15.170  0.52760000
      15.170  0.52230000
      15.180  0.51700000
      15.190  0.51180000
      15.200  0.50660000
      15.200  0.50150000
      15.210  0.49640000
      15.220  0.49140000
      15.230  0.48640000
      15.240  0.48150000
      15.250  0.47660000
      15.260  0.47180000
      15.270  0.46700000
      15.280  0.46230000
      15.290  0.45760000
      15.290  0.45300000
      15.300  0.44840000
      15.310  0.44390000
      15.320  0.43940000
      15.330  0.43500000
      15.330  0.43060000
      15.340  0.42620000
      15.350  0.42190000
      15.360  0.41760000
      15.370  0.41340000
      15.380  0.40920000
      15.390  0.40510000
      15.400  0.40100000
      15.410  0.39690000
      15.420  0.39290000
      15.430  0.38890000
      15.440  0.38500000
      15.450  0.38110000
      15.460  0.37720000
      15.470  0.37340000
      15.480  0.36960000
      15.490  0.36590000
      15.490  0.36220000
      15.500  0.35850000
      15.510  0.35490000
      15.520  0.35130000
      15.530  0.34770000
      15.540  0.34420000
      15.550  0.34070000
      15.560  0.33720000
      15.570  0.33380000
      15.580  0.33040000
      15.580  0.32700000
      15.590  0.32370000
      15.600  0.32040000
      15.610  0.31710000
      15.620  0.31390000
      15.630  0.31070000
      15.640  0.30750000
      15.650  0.30440000
      15.660  0.30130000
      15.670  0.29820000
      15.670  0.29520000
      15.680  0.29220000
      15.690  0.28920000
      15.700  0.28630000
