# Digested data for homa_w4 experiment, run at 2026-04-21 05:48:31.542256
# Averaged across 1 repeated sample(s)
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
      72  0.004446      956    88.9    360.5   1429.9   5.6   22.4    88.2
      92  0.007432      642    91.3    373.5    884.4   5.9   24.3    57.6
     154  0.012144     1013    90.7    328.7    468.6   6.0   21.9    31.0
     222  0.017920     1242    91.2    322.3    633.6   6.1   21.4    42.4
     227  0.020506      556    97.9    385.6    919.2   6.6   26.1    62.2
     232  0.023017      540    92.4    269.2    403.7   6.3   18.3    27.5
     237  0.025422      517    93.7    324.4    889.4   6.4   22.2    61.0
     243  0.027878      528   100.4    361.4    562.3   6.9   24.8    38.5
     248  0.030417      546    91.5    305.4    538.3   6.3   21.1    37.2
     254  0.032989      553    91.6    312.9    416.5   6.3   21.7    28.9
     259  0.035756      595    95.3    380.7    529.1   6.6   26.3    36.6
     265  0.038319      551    96.6    328.6    492.7   6.7   22.8    34.3
     271  0.040905      556    91.2    324.5    408.5   6.4   22.6    28.5
     279  0.044314      733    97.8    283.9    488.6   6.8   19.7    33.9
     288  0.047802      750    94.7    353.2    489.1   6.6   24.6    34.1
     297  0.051202      731    99.0    353.2    677.2   6.9   24.5    47.0
     303  0.060848     2074    92.7    372.7    618.6   6.4   25.8    42.8
     305  0.069429     1845    89.9    347.5    603.6   6.2   24.0    41.7
     308  0.077996     1842    91.5    379.8   1394.8   6.3   26.3    96.7
     310  0.086591     1848    92.3    312.2    530.1   6.4   21.6    36.6
     313  0.094911     1789    93.3    343.7    481.5   6.4   23.6    33.1
     315  0.103088     1758    90.8    328.7    545.0   6.3   22.8    37.9
     318  0.111538     1817    89.0    304.8    882.2   6.2   21.2    61.4
     321  0.120389     1903    93.9    309.9    715.3   6.5   21.5    49.5
     323  0.128952     1841    90.8    323.3   1089.6   6.3   22.4    75.5
     326  0.137677     1876    90.8    351.3    450.3   6.3   24.4    31.3
     331  0.144132     1388    92.9    347.9    506.6   6.4   24.1    35.2
     335  0.150741     1421    93.2    291.6    388.4   6.5   20.2    26.9
     340  0.157327     1416    90.8    290.4    485.6   6.3   20.1    33.6
     345  0.164024     1440    90.3    328.6    466.0   6.2   22.6    32.1
     350  0.170596     1413    92.5    300.7    486.6   6.4   20.9    33.8
     355  0.177182     1416    93.8    332.1    497.2   6.5   23.0    34.4
     360  0.183493     1357    86.9    346.1    594.1   6.0   24.0    41.1
     365  0.190130     1427    90.6    308.9    485.7   6.2   21.2    33.3
     371  0.196934     1463    93.8    362.0    501.7   6.5   25.0    34.6
     376  0.203464     1404    90.3    277.6    496.0   6.2   19.2    34.3
     385  0.207534      875    88.2    302.8    437.2   6.1   21.0    30.3
     395  0.211952      950    95.7    328.6   2263.8   6.7   22.8   157.3
     405  0.215984      867    91.3    337.9   1376.4   6.3   23.5    95.6
     415  0.220291      926    88.3    309.3    877.7   6.1   21.4    60.8
     425  0.224533      912    89.8    332.3    745.5   6.2   23.0    51.7
     430  0.228653      886    93.6    339.1    504.6   6.5   23.5    34.9
     435  0.232872      907    93.4    332.3    561.1   6.5   23.1    39.0
     441  0.236872      860    93.6    302.3    456.8   6.5   21.0    31.7
     446  0.241150      920    88.5    325.4    549.8   6.2   22.6    38.2
     452  0.245346      902    93.8    351.7    752.1   6.5   24.4    52.1
     457  0.249271      844    89.0    305.7    456.9   6.2   21.2    31.7
     463  0.253443      897    90.7    357.4    570.0   6.3   24.7    39.4
     468  0.257619      898    93.7    353.6    989.6   6.5   24.4    68.4
     474  0.261763      891    90.5    328.7    732.9   6.2   22.5    50.2
     480  0.265865      882    90.0    397.0    986.1   6.2   27.2    67.6
     491  0.285195     4156    91.0    353.8    642.8   6.2   24.2    44.0
     502  0.304608     4174    90.9    345.9    563.9   6.2   23.7    38.7
     513  0.324253     4224    92.7    335.1    661.1   6.4   23.0    45.4
     525  0.343266     4088    93.0    320.5    612.4   6.4   22.0    42.0
     537  0.363419     4333    92.8    337.2    516.8   6.4   23.1    35.4
     549  0.382622     4129    89.4    331.4    536.9   6.2   22.8    37.0
     561  0.402110     4190    91.7    331.6    589.7   6.3   22.7    40.4
     574  0.421560     4182    91.4    312.3    625.1   6.3   21.4    42.8
     587  0.441224     4228    92.0    309.0    521.9   6.3   21.2    35.7
     600  0.461009     4254    92.8    343.7    741.6   6.4   23.5    50.8
     607  0.466874     1261    93.3    373.7    585.2   6.4   25.5    39.9
     615  0.472673     1247    91.0    409.2    726.6   6.2   27.8    49.3
     623  0.478650     1285    93.9    389.1    898.3   6.4   26.5    61.1
     630  0.484696     1300    90.9    312.4    427.7   6.2   21.3    29.1
     638  0.490338     1213    92.1    328.9    633.1   6.3   22.3    43.0
     646  0.496333     1289    91.9    315.9    973.5   6.2   21.4    66.0
     654  0.501974     1213    89.5    340.6    746.3   6.1   23.1    50.5
     662  0.507862     1266    91.8    284.1    509.6   6.2   19.2    34.4
     671  0.513597     1233    91.6    328.3    484.7   6.2   22.2    32.7
     679  0.519336     1234    91.7    311.3    594.8   6.2   21.0    40.1
     685  0.522662      715    91.0    305.0   1817.2   6.2   20.6   122.9
     690  0.526103      740    93.3    356.8    876.3   6.3   24.1    59.2
     696  0.529843      804    90.7    334.5    793.0   6.1   22.6    53.6
     702  0.533266      736    96.8    405.5   1276.7   6.6   27.5    86.4
     707  0.536763      752    92.3    348.3    589.4   6.2   23.6    39.9
     713  0.540219      743    88.7    348.1    567.6   6.0   23.5    38.3
     719  0.543702      749    89.9    314.3    509.7   6.1   21.2    34.4
     725  0.546986      706    94.0    337.2    585.2   6.4   22.8    39.6
     731  0.550418      738    90.9    317.6    594.9   6.1   21.5    40.2
     737  0.553879      744    91.8    300.7    546.9   6.2   20.3    36.9
     749  0.558585     1012    90.9    317.6    427.3   6.1   21.3    28.6
