# Fraction of RTTS longer than a given time for homa_w4 experiment
# Includes messages <= 315 bytes; measured at 2026-04-21 05:48:31.542256
# Averaged across 1 repeated sample(s)
# Data collected at 2026-04-21 05:48:31.542256 
#       usec        frac
      18.610  0.99995488
      19.150  0.99990977
      20.170  0.99986465
      20.500  0.99977442
      20.960  0.99972930
      21.670  0.99959395
      21.890  0.99945861
      22.110  0.99932326
      22.370  0.99918791
      22.690  0.99909768
      22.920  0.99878186
      23.250  0.99860140
      23.490  0.99837582
      23.730  0.99801489
      23.970  0.99778931
      24.230  0.99724791
      24.480  0.99688698
      24.830  0.99621024
      25.240  0.99598466
      25.530  0.99539815
      25.800  0.99481164
      26.060  0.99404467
      26.340  0.99327769
      26.640  0.99183397
      26.920  0.99066095
      27.190  0.98953305
      27.470  0.98872096
      27.770  0.98736747
      28.050  0.98619445
      28.340  0.98488608
      28.630  0.98312655
      28.920  0.98145725
      29.210  0.97969772
      29.510  0.97726145
      29.810  0.97545680
      30.110  0.97338146
      30.420  0.97121588
      30.730  0.96859914
      31.040  0.96665915
      31.360  0.96440334
      31.680  0.96196707
      32.000  0.95957591
      32.320  0.95655312
      32.670  0.95348522
      33.000  0.95082337
      33.340  0.94766524
      33.680  0.94513873
      34.020  0.94252199
      34.370  0.93927363
      34.720  0.93670201
      35.080  0.93322806
      35.440  0.93034063
      35.800  0.92749831
      36.160  0.92420483
      36.530  0.92131739
      36.920  0.91842996
      37.290  0.91608392
      37.670  0.91351229
      38.060  0.91085044
      38.450  0.90697045
      38.840  0.90376720
      39.230  0.90092488
      39.630  0.89821791
      40.030  0.89492443
      40.440  0.89230769
      40.850  0.88933002
      41.260  0.88630724
      41.700  0.88301376
      42.120  0.87922400
      42.550  0.87606587
      42.980  0.87308820
      43.410  0.87065193
      43.850  0.86740356
      44.290  0.86406497
      44.740  0.86032032
      45.190  0.85707196
      45.660  0.85377848
      46.120  0.85025942
      46.590  0.84669524
      47.070  0.84308595
      47.550  0.84010828
      48.030  0.83704038
