# Digested data for dctcp_w2 experiment, run at 2026-04-20 23:17:48.953785
# Averaged across 1 repeated sample(s)
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
      12  0.169367   677467   105.6    982.7  49679.5   6.0   56.0  2832.4
      32  0.188061    74776   104.0    997.3  51568.4   6.1   58.8  3040.6
      34  0.201610    54196   104.7    980.4  50029.6   6.3   59.1  3015.6
      36  0.215271    54644   104.4   1053.4 198610.6   6.5   65.9 12420.9
      38  0.229411    56562   103.8    955.5  50354.0   6.6   60.8  3205.2
      40  0.242831    53678   104.4    965.6  49992.4   6.6   61.2  3166.1
      43  0.256931    56400   103.7   1002.5  52791.8   6.7   64.5  3395.0
      46  0.270647    54865   103.8    938.9  46966.3   6.7   60.8  3043.8
      49  0.284162    54059   104.0   1011.0  54990.5   6.8   66.4  3613.0
      53  0.298153    55966   103.6    939.9  48495.6   6.9   62.8  3239.5
      58  0.311472    53277   103.0    974.7  48317.4   6.9   65.3  3238.4
      64  0.325520    56190   102.8   1003.3  50281.9   6.9   67.6  3386.0
      71  0.328852    13327   106.5    954.8  47120.5   7.3   65.1  3212.0
      80  0.331751    11596   102.5    921.8  47481.1   7.0   62.8  3234.4
      91  0.334840    12355   102.9    950.5  46710.1   7.1   65.4  3212.5
     107  0.338398    14234   104.0   1052.4  51455.7   7.1   71.9  3514.7
     128  0.341453    12220   102.2    935.9  46815.5   7.0   63.9  3197.8
     135  0.354755    53209   102.7    904.9  47241.5   7.1   62.1  3244.6
     142  0.366706    47805   103.3    979.4  46792.1   7.1   67.2  3209.3
     151  0.379157    49800   102.4   1014.5 118325.5   7.0   68.9  8033.0
     160  0.390709    46211   102.4    925.9  45706.6   7.0   63.5  3134.9
     171  0.403252    50170   102.5   1011.2 195649.3   6.9   68.6 13264.4
     183  0.415351    48399   102.6    963.1  46624.9   7.0   65.7  3182.6
     197  0.426953    46405   102.4   1047.3  49637.8   7.0   71.6  3395.2
     213  0.438555    46411   102.4    908.4  55619.2   7.0   61.8  3781.0
     233  0.451094    50154   102.6    978.8  47369.2   7.0   66.5  3218.0
     256  0.462626    46130   101.9    969.4  47923.2   6.9   65.7  3249.0
     269  0.506629   176011   101.7    940.0  49819.0   6.8   62.8  3325.7
     284  0.551592   179849   101.2    981.1  51223.6   6.8   66.1  3449.4
     301  0.597634   184172   100.7    935.3  48919.0   6.8   63.3  3312.1
     320  0.642486   179407   100.7    953.9  48014.7   6.8   64.8  3264.1
     341  0.686600   176453   100.2    979.6  52753.1   6.8   66.2  3564.4
     366  0.729811   172846    99.7    981.4  50481.9   6.7   66.2  3406.3
     394  0.774694   179533    99.5    992.7  50759.2   6.7   67.2  3434.3
     427  0.820331   182549    99.6    968.0  49808.0   6.7   65.2  3354.1
     465  0.865434   180410    99.4    978.9  50257.2   6.7   65.7  3370.7
     512  0.909064   174519    98.5    986.7  49190.6   6.6   66.5  3317.0
     539  0.913817    19014    98.5    929.0  47482.9   6.5   61.6  3150.8
     569  0.918512    18778    97.9   1010.2  51662.4   6.5   67.3  3444.2
     602  0.923213    18805    97.5   1039.1  50935.3   6.5   69.2  3391.2
     640  0.928153    19761    98.3    910.9  50701.1   6.5   60.1  3346.6
     683  0.933392    20955    97.8   1029.3  49674.9   6.4   67.9  3274.5
     731  0.937974    18329    97.4    892.8  50459.3   6.4   58.7  3315.3
     788  0.943161    20749    98.9    938.9  49847.2   6.5   61.6  3270.8
     853  0.947949    19150    98.7    901.5  47161.6   6.5   59.4  3108.9
     931  0.952578    18515    99.5    938.0  46464.2   6.5   61.1  3027.0
    1024  0.957142    18258    99.1   1072.1  50684.1   6.4   69.2  3272.1
    1138  0.961844    18808    99.0    965.9 193004.5   6.3   61.8 12348.3
    1280  0.966595    19001    98.5    977.2  48986.8   6.2   61.5  3084.8
    1463  0.970777    16731   103.8    936.3  50642.7   4.3   38.8  2097.9
    1707  0.975582    19218   103.3    934.7 109411.3   4.3   38.9  4555.0
    2048  0.980542    19843   102.4    894.6  48501.8   4.3   37.2  2017.5
    2276  0.983857    13256   103.6    970.6  45504.6   4.3   40.3  1890.5
    2560  0.986440    10332   102.8    910.7  44373.4   2.6   23.3  1133.1
    2926  0.989509    12279   106.6    915.2  49521.9   4.2   35.8  1936.0
    3413  0.992456    11789   104.4   1006.7  53295.0   4.1   39.1  2069.7
    4096  0.995264    11232   105.4    954.2  52617.3   4.1   36.8  2026.9
    5120  0.996583     5274   112.3    984.4 199097.6   4.0   35.2  7115.7
    6302  0.997468     3541   121.8   1076.3  43900.2   1.3   11.1   452.5
    8192  0.998647     4715   133.0    886.7  45845.3   1.3    8.8   456.9
   10240  0.998803      624   158.0    775.4   3533.8   1.5    7.5    34.2
   19275  0.998960      626   195.2   1226.8 204493.2   2.6   14.0  5059.2
   29789  0.999098      555   296.7   1229.2 113154.9   5.0   19.3  1993.2
   59578  0.999237      554   442.7   3422.1  49753.1   3.6   25.6   380.0
   77101  0.999496     1038   644.0  46220.0  51328.2   2.9  207.2   230.1
   93623  0.999671      697   759.1  48576.1 200922.9   2.9  187.0   773.7
  119156  0.999879      832   888.3   6795.6  58522.6   2.5   19.4   167.0
  476625  1.000000      486  1210.6  54729.2 216593.0   2.1  107.4   428.1
