# Fraction of RTTS longer than a given time for dctcp_w3 experiment
# Includes messages <= 36 bytes; measured at 2026-04-20 23:17:48.953785
# Averaged across 1 repeated sample(s)
# Data collected at 2026-04-20 23:17:48.953785 
#       usec        frac
      23.180  0.99999732
      25.150  0.99999464
      25.440  0.99998391
      25.860  0.99997050
      26.180  0.99995977
      26.550  0.99993564
      26.830  0.99991686
      27.110  0.99987664
      27.390  0.99983105
      27.670  0.99977741
      27.960  0.99971305
      28.240  0.99962723
      28.530  0.99951460
      28.820  0.99943683
      29.110  0.99932687
      29.410  0.99919815
      29.710  0.99903724
      30.010  0.99887633
      30.320  0.99870202
      30.630  0.99844188
      30.940  0.99821393
      31.250  0.99784385
      31.570  0.99747644
      31.890  0.99707149
      32.210  0.99663168
      32.540  0.99611678
      32.870  0.99560992
      33.200  0.99507624
      33.540  0.99454525
      33.880  0.99389358
      34.220  0.99319095
      34.570  0.99245882
      34.920  0.99162479
      35.270  0.99087925
      35.630  0.98999158
      35.990  0.98912804
      36.350  0.98831010
      36.720  0.98733125
      37.090  0.98640067
      37.470  0.98526091
      37.850  0.98424451
      38.230  0.98307526
      38.620  0.98185236
      39.010  0.98071260
      39.410  0.97948971
      39.810  0.97819709
      40.210  0.97685352
      40.620  0.97551262
      41.030  0.97408860
      41.450  0.97257875
      41.870  0.97099918
      42.290  0.96948129
      42.720  0.96786954
      43.150  0.96627119
      43.590  0.96457899
      44.030  0.96284119
      44.480  0.96104439
      44.930  0.95913765
      45.380  0.95724162
      45.840  0.95536706
      46.300  0.95348981
      46.770  0.95156160
      47.240  0.94961999
      47.720  0.94743702
      48.200  0.94523795
      48.690  0.94322662
      49.180  0.94077546
      49.680  0.93840745
      50.180  0.93598848
      50.690  0.93345151
      51.200  0.93109154
      51.720  0.92864843
      52.240  0.92609001
      52.770  0.92360668
      53.300  0.92090076
      53.840  0.91818679
      54.380  0.91526901
      54.930  0.91251214
      55.480  0.90966140
      56.040  0.90666853
      56.610  0.90360325
      57.180  0.90048701
      57.760  0.89724473
      58.340  0.89425454
      58.930  0.89106590
      59.520  0.88778876
      60.120  0.88461621
      60.730  0.88145975
      61.340  0.87812093
      61.960  0.87451661
      62.580  0.87111074
      63.210  0.86758688
      63.850  0.86395306
      64.490  0.86038628
      65.140  0.85672028
      65.800  0.85302210
      66.460  0.84925420
      67.130  0.84543802
      67.810  0.84160306
      68.490  0.83793975
      69.180  0.83391975
      69.880  0.82991585
      70.580  0.82597630
      71.290  0.82179808
      72.010  0.81732487
      72.740  0.81297233
      73.470  0.80862516
      74.210  0.80415730
      74.960  0.79982890
      75.710  0.79558900
      76.470  0.79115601
      77.240  0.78660770
      78.020  0.78196017
      78.810  0.77728850
      79.600  0.77261951
      80.400  0.76787007
      81.210  0.76325472
      82.030  0.75846237
      82.860  0.75364589
      83.690  0.74876504
      84.530  0.74379301
      85.380  0.73863594
      86.240  0.73371486
      87.110  0.72853902
      87.990  0.72337926
      88.870  0.71853328
      89.760  0.71356393
      90.660  0.70845513
      91.570  0.70328465
      92.490  0.69822144
      93.420  0.69304023
      94.360  0.68768471
      95.310  0.68253836
      96.270  0.67728475
      97.240  0.67203918
      98.220  0.66669438
      99.210  0.66126108
     100.210  0.65556229
     101.220  0.65043740
     102.240  0.64492365
     103.270  0.63932140
     104.310  0.63385592
     105.360  0.62815177
     106.420  0.62289547
     107.490  0.61707063
     108.570  0.61136379
     109.660  0.60593586
     110.760  0.60038993
     111.870  0.59467237
     112.990  0.58907280
     114.120  0.58337133
     115.270  0.57774226
     116.430  0.57215342
     117.600  0.56654313
     118.780  0.56097306
     119.940  0.55536277
     121.140  0.55000188
     122.340  0.54450154
     123.540  0.53905483
     124.720  0.53366176
     125.890  0.52832501
     127.060  0.52303921
     128.240  0.51780705
     129.480  0.51262852
     130.670  0.50750095
     131.900  0.50242433
     133.070  0.49739867
     134.250  0.49242396
     135.470  0.48749752
     136.720  0.48262203
     137.950  0.47779482
     139.150  0.47301588
     140.360  0.46828521
     141.550  0.46360014
     142.780  0.45896333
     144.050  0.45437211
     145.290  0.44982649
     146.530  0.44532645
     147.670  0.44087201
     148.890  0.43646315
     150.120  0.43209721
     151.380  0.42777417
     152.600  0.42349404
     153.860  0.41925682
     155.150  0.41506251
     156.390  0.41091111
     157.610  0.40679993
     158.880  0.40273167
     160.160  0.39870363
     161.420  0.39471581
     162.650  0.39076822
     163.860  0.38685818
     165.130  0.38298837
     166.430  0.37915610
     167.650  0.37536405
     168.880  0.37160955
     170.150  0.36789260
     171.430  0.36421319
     172.700  0.36056865
     173.980  0.35696165
     175.270  0.35338951
     176.570  0.34985492
     177.880  0.34635519
     179.180  0.34289032
     180.470  0.33946032
     181.730  0.33606518
     183.020  0.33270222
     184.290  0.32937413
     185.610  0.32607821
     186.880  0.32281716
     188.170  0.31958829
     189.530  0.31639160
     190.860  0.31322710
     192.230  0.31009477
     193.520  0.30699195
     194.900  0.30392131
     196.280  0.30088016
     197.630  0.29787120
     199.030  0.29489174
     200.470  0.29194177
     201.850  0.28902131
     203.240  0.28613035
     204.680  0.28326888
     206.130  0.28043423
     207.520  0.27762909
     208.900  0.27485076
     210.380  0.27210193
     211.750  0.26937992
     213.140  0.26668472
     214.670  0.26401635
     216.140  0.26137479
     217.680  0.25876005
     219.160  0.25617213
     220.760  0.25360834
     222.290  0.25107137
     223.760  0.24855854
     225.240  0.24607253
     226.740  0.24361065
     228.320  0.24117291
     229.870  0.23875930
     231.320  0.23636983
     232.850  0.23400449
     234.330  0.23166330
     235.860  0.22934623
     237.360  0.22705063
     238.890  0.22477916
     240.620  0.22252914
     242.210  0.22030326
     243.790  0.21809883
     245.380  0.21591586
     247.050  0.21375434
     248.710  0.21161427
     250.380  0.20949566
     251.970  0.20739851
     253.570  0.20532281
     255.210  0.20326856
     256.860  0.20123577
     258.510  0.19922175
     260.170  0.19722918
     261.930  0.19525539
     263.600  0.19330037
     265.370  0.19136680
     267.170  0.18945200
     268.860  0.18755598
     270.750  0.18567873
     272.560  0.18382026
     274.380  0.18198055
     276.120  0.18015962
     277.910  0.17835746
     279.660  0.17657139
     281.480  0.17480410
     283.290  0.17305557
     285.190  0.17132314
     287.100  0.16960948
     288.920  0.16791191
     290.750  0.16623043
     292.860  0.16456772
     294.950  0.16292111
     296.970  0.16129058
     298.850  0.15967615
     300.740  0.15807780
     302.850  0.15649555
     304.750  0.15492939
     306.800  0.15337932
     308.890  0.15184534
     310.880  0.15032476
     313.090  0.14882028
     315.270  0.14733189
     317.400  0.14585691
     319.530  0.14439802
     321.780  0.14295254
     323.940  0.14152046
     326.200  0.14010448
     328.520  0.13870191
     330.740  0.13731274
     333.020  0.13593699
     335.390  0.13457732
     337.710  0.13323107
     340.140  0.13189822
     342.480  0.13057878
     344.980  0.12927275
     347.420  0.12797745
     349.930  0.12669556
     352.320  0.12542707
     354.890  0.12417200
     357.450  0.12292765
     360.050  0.12169671
     362.460  0.12047918
     364.960  0.11927238
     367.590  0.11807898
     370.500  0.11689632
     373.070  0.11572706
     375.730  0.11456853
     378.480  0.11342072
     381.380  0.11228633
     384.150  0.11116266
     386.840  0.11004972
     389.920  0.10894751
     392.930  0.10785602
     395.900  0.10677526
     399.080  0.10570523
     402.190  0.10464592
     405.110  0.10359735
     408.190  0.10255950
     411.280  0.10153237
     414.240  0.10051598
     417.430  0.09951031
     420.950  0.09851268
     424.190  0.09752579
     427.450  0.09654962
     430.890  0.09558149
     434.230  0.09462409
     437.510  0.09367742
     441.100  0.09273880
     444.800  0.09181090
     448.690  0.09089105
     452.390  0.08998192
     456.180  0.08908085
     459.770  0.08818781
     463.450  0.08730550
     467.450  0.08643124
     471.130  0.08556503
     475.330  0.08470685
     479.480  0.08385941
     483.420  0.08302001
     487.500  0.08218866
     491.810  0.08136535
     496.010  0.08055009
     500.450  0.07974287
     505.140  0.07894370
     509.660  0.07815257
     513.940  0.07736949
     518.820  0.07659446
     524.010  0.07586501
     528.730  0.07510606
     533.820  0.07435248
     538.820  0.07360695
     543.840  0.07286946
     548.680  0.07214001
     554.130  0.07141593
     558.890  0.07069989
     564.490  0.07005626
     569.540  0.06935364
     575.270  0.06869392
     581.080  0.06801006
     586.900  0.06734498
     592.790  0.06667453
     598.750  0.06609259
     604.700  0.06543019
     610.750  0.06481069
     616.870  0.06420729
     622.620  0.06356366
     628.860  0.06298172
     635.180  0.06237027
     641.540  0.06176687
     647.980  0.06117419
     654.470  0.06064052
     661.060  0.06009075
     667.710  0.05954367
     674.400  0.05899390
     681.000  0.05840391
     687.820  0.05784878
     694.720  0.05736069
