# Digested data for homa_w3 experiment, run at 2026-04-20 23:17:48.953785
# Averaged across 1 repeated sample(s)
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
      12  0.064011    25158    26.0    137.9 1860709.7   1.4    7.6 102744.9
      32  0.096454    12751    26.0    140.3 1854688.8   1.5    7.9 104489.5
      36  0.107725     4430    26.2    140.3 1876304.9   1.5    8.1 108269.2
      40  0.119373     4578    26.2    144.8 1924620.2   1.5    8.4 111249.7
      46  0.131095     4607    26.0    122.2 1853934.1   1.5    7.1 108101.1
      53  0.143097     4717    26.2    131.6 1883872.5   1.6    8.0 114590.8
      64  0.154434     4456    25.8    139.4 1863282.4   1.6    8.6 115088.5
      70  0.187552    13016    26.1    134.9 1870381.9   1.6    8.4 117118.5
      77  0.220369    12898    25.9    140.2 1891953.5   1.6    8.8 119366.2
      85  0.253644    13078    26.2    136.2 1875142.8   1.6    8.3 114757.8
      96  0.286433    12887    26.1    133.9 1853122.4   1.6    8.1 112651.8
     110  0.319313    12923    26.3    133.1 1877057.6   1.6    8.0 112533.4
     128  0.352186    12920    26.0    143.8 1817150.8   1.6    8.7 109599.0
     137  0.370989     7390    26.3    148.9 1855211.5   1.6    9.0 111827.1
     146  0.389400     7236    26.0    150.0 1897282.7   1.6    9.0 113950.9
     158  0.408063     7335    26.1    135.6 1881943.0   1.6    8.2 113575.3
     171  0.425985     7044    26.1    136.2 1840138.6   1.6    8.1 109728.0
     186  0.444068     7107    25.9    129.9 1814187.0   1.5    7.7 107923.1
     205  0.462453     7226    26.3    154.2 1834032.7   1.6    9.3 110417.4
     228  0.480981     7282    26.4    129.6 1855000.7   1.6    7.9 113386.3
     256  0.499590     7314    26.1    142.8 1880661.9   1.6    8.9 116811.3
     268  0.525838    10316    26.1    143.4 1891430.0   1.6    8.9 117407.2
     282  0.552388    10435    26.2    137.7 1886638.4   1.6    8.6 117182.5
     296  0.578127    10116    26.1    134.8 1871200.8   1.6    8.4 116079.5
     313  0.604555    10387    26.0    138.4 1859766.9   1.6    8.6 116090.3
     331  0.630759    10299    26.3    137.7 1841145.7   1.7    8.7 116233.9
     352  0.656920    10282    26.5    138.2 1799893.6   1.7    8.7 113701.4
     375  0.683084    10283    26.5    134.8 1892842.3   1.7    8.5 119648.7
     402  0.708955    10168    26.2    130.3 1871234.3   1.7    8.2 118357.6
     433  0.734902    10198    26.5    134.9 1848345.3   1.7    8.6 117355.3
     469  0.761338    10390    26.4    131.4 1848419.5   1.6    8.2 115310.0
     512  0.787175    10155    26.5    147.8 1854467.2   1.6    9.0 113008.4
     531  0.792857     2233    26.3    132.3 1852687.9   1.6    8.0 112488.6
     551  0.798330     2151    27.3    122.8 1822857.4   1.7    7.5 110677.4
     573  0.803983     2222    27.1    141.1 1805456.8   1.6    8.6 109421.6
     597  0.809492     2165    26.8    159.0 1877415.9   1.6    9.7 114686.4
     623  0.815117     2211    26.4    130.0 1815300.2   1.6    7.8 109289.6
     652  0.820702     2195    26.8    133.1 1864400.3   1.6    8.0 111908.8
     683  0.826252     2181    26.8    194.0 1926639.7   1.6   11.6 115575.3
     717  0.831775     2171    27.0    139.6 1828045.1   1.6    8.3 108812.2
     755  0.837159     2116    26.6    119.2 1654416.3   1.6    7.3 101810.2
     796  0.842467     2086    26.9    146.8 1876086.8   1.7    9.2 116963.0
     843  0.847980     2167    26.9    144.6 1821100.7   1.7    8.9 112552.6
     896  0.853270     2079    27.0    134.2 1801273.4   1.7    8.2 110102.3
     956  0.858926     2223    27.1    172.5 1845967.9   1.7   10.6 113041.5
    1024  0.864427     2162    27.3    128.2 1822186.8   1.6    7.7 109902.7
    1053  0.866890      968    28.3    134.4 1930928.8   1.7    8.1 116391.1
    1084  0.869226      918    27.2    131.3 1981531.3   1.6    7.7 116082.7
    1117  0.871800     1012    27.2    138.9 1857880.8   1.6    8.1 108331.2
    1152  0.874337      997    27.7    128.5 1848812.8   1.6    7.5 107991.4
    1189  0.876955     1029    27.5    160.8 1841426.8   1.6    9.3 106811.3
    1229  0.879434      974    27.6    146.5 1889471.3   1.6    8.5 109281.2
    1271  0.881968      996    27.7    109.4 1883982.9   1.6    6.3 108586.9
    1317  0.884515     1001    28.3    126.9 1880666.8   1.6    7.3 107589.6
    1365  0.887061     1001    28.3    125.0 1752077.2   1.6    7.1 100233.2
    1418  0.889596      996    29.1 1535374.2 1925828.4   1.6 86111.8 108010.6
    1475  0.892201     1024    41.7    155.5 3352140.9   1.5    5.6 121630.7
    1536  0.894633      956    41.2    177.8 3714154.4   1.6    6.7 139998.3
    1603  0.897155      991    41.8    166.8 3642837.0   1.6    6.4 139465.4
    1676  0.899798     1039    41.0    163.5 3730883.4   1.6    6.5 147291.1
    1755  0.902445     1040    41.9    149.9 1897747.6   1.7    6.1 77617.5
    1843  0.905091     1040    41.6    199.6 3400969.9   1.7    8.1 137970.4
    1940  0.907526      957    42.0    159.8 3696745.5   1.7    6.6 151941.9
    2048  0.910139     1027    41.3    148.6 1798399.8   1.7    6.1 73886.6
    2185  0.913347     1261    42.4    159.1 3375784.2   1.7    6.5 137843.4
    2341  0.916507     1242    41.1    183.2 3500914.6   1.7    7.5 143362.6
    2521  0.919665     1241    41.5    146.5 3485954.9   1.7    5.9 141246.1
    2731  0.923125     1360    41.6    141.6 1875922.1   1.7    5.7 75825.5
    2979  0.926412     1292    44.4    196.9 3361851.5   1.7    7.6 129401.5
    3277  0.929664     1278    45.4    179.1 3703034.2   1.7    6.9 141661.6
    3641  0.932855     1254    45.2    172.6 3519588.4   1.7    6.6 134592.3
    4096  0.936241     1331    44.8    286.3 3532340.6   1.7   10.8 133547.8
    4304  0.939223     1172    47.3    158.2 1796585.1   0.7    2.3 25835.3
    4535  0.942007     1094    48.5    145.2 3509773.2   1.7    5.2 125259.6
    4792  0.944760     1082    47.5    162.4 3481897.9   1.7    5.7 121915.2
    5079  0.947411     1042    47.5    172.2 3580582.0   1.7    6.0 125634.5
    5403  0.950222     1105    48.3    157.5 3627341.1   1.7    5.6 129317.0
    5772  0.953100     1131    51.1    169.4 1890552.0   1.7    5.7 63612.1
    6194  0.955940     1116    50.7    191.8 1800619.2   1.7    6.5 60790.7
    6683  0.958626     1056    51.3    185.7 3126144.0   1.7    6.3 105899.2
    7256  0.961362     1075    52.9    224.4 1958459.4   1.7    7.2 62912.3
