# Fraction of RTTS longer than a given time for homa_w4 experiment
# Includes messages <= 315 bytes; measured at 2026-04-20 23:17:48.953785
# Averaged across 1 repeated sample(s)
# Data collected at 2026-04-20 23:17:48.953785 
#       usec        frac
      18.590  0.99965894
      18.830  0.99897681
      19.040  0.99829468
      19.360  0.99761255
      19.560  0.99556617
      19.760  0.99386085
      19.960  0.99181446
      20.230  0.99010914
      20.540  0.98840382
      20.750  0.98635744
      21.040  0.98567531
      21.280  0.98396999
      21.540  0.98226467
      21.760  0.97987722
      22.030  0.97748977
      22.280  0.97407913
      22.580  0.96862210
      22.830  0.96316508
      23.070  0.96077763
      23.330  0.95702592
      23.570  0.95259209
      23.840  0.94645293
      24.090  0.94099591
      24.340  0.93622101
      24.600  0.92939973
      24.900  0.92428377
      25.180  0.92019100
      25.440  0.91336971
      25.700  0.90825375
      25.960  0.90313779
      26.230  0.89802183
      26.530  0.88881310
      26.800  0.88130969
      27.070  0.87482947
      27.350  0.86971351
      27.660  0.86152797
      27.940  0.85641201
      28.220  0.85095498
      28.540  0.84515689
      28.830  0.84208731
      29.190  0.83628922
      29.510  0.82946794
      29.830  0.82332879
      30.150  0.81821282
      30.490  0.81446112
      30.850  0.81275580
      31.180  0.80866303
      31.510  0.80559345
      31.840  0.80252387
      32.210  0.79740791
      32.550  0.79263302
      33.020  0.78990450
      33.370  0.78581173
      33.730  0.78274216
      34.090  0.78069577
      34.440  0.77796726
      34.850  0.77216917
      35.250  0.76875853
      35.610  0.76261937
      35.980  0.75920873
      36.360  0.75545703
      36.730  0.75170532
      37.100  0.74795362
      37.510  0.74454297
      37.920  0.74010914
      38.320  0.73669850
      38.720  0.73328786
      39.120  0.72783083
      39.530  0.72510232
      39.950  0.72100955
      40.360  0.71725784
      40.830  0.71418827
      41.320  0.71043656
      41.770  0.70770805
      42.220  0.70463847
      42.650  0.69918145
      43.120  0.69474761
      43.650  0.69099591
      44.150  0.68826739
      44.680  0.68315143
      45.140  0.68008186
      45.620  0.67462483
      46.090  0.67121419
      46.660  0.66678035
      47.150  0.66268759
      47.640  0.65586630
      48.120  0.65075034
      48.620  0.64665757
      49.190  0.64358799
      49.910  0.63847203
      50.420  0.63369714
      50.930  0.63062756
      51.440  0.62585266
      51.960  0.62073670
      52.530  0.61596180
      53.080  0.61255116
      53.690  0.60709413
      54.290  0.60368349
      54.850  0.59993179
      55.490  0.59686221
      56.060  0.59345157
      56.700  0.58969986
      57.270  0.58663029
      57.970  0.58083220
      58.640  0.57810368
      59.230  0.57264666
      59.800  0.56684857
      60.400  0.56275580
      61.000  0.55695771
      61.610  0.55115962
      62.250  0.54740791
      62.810  0.54160982
      63.400  0.53615280
      64.000  0.53069577
      64.350  0.52523874
      64.730  0.51978172
      65.330  0.51432469
      65.890  0.50886767
      66.280  0.50375171
      66.840  0.49863574
      67.140  0.49351978
      67.560  0.48840382
      68.030  0.48328786
      68.430  0.47817190
      68.840  0.47305593
      69.280  0.46828104
      69.720  0.46350614
      70.200  0.45873124
      70.550  0.45395634
      70.790  0.44918145
      71.140  0.44440655
      71.450  0.43963165
      72.100  0.43519782
      72.360  0.43076398
      72.830  0.42633015
      73.150  0.42189632
      73.570  0.41746248
      73.810  0.41302865
      74.180  0.40859482
      74.630  0.40450205
      74.780  0.40040928
      75.230  0.39631651
      75.440  0.39222374
      75.940  0.38813097
      76.230  0.38403820
      76.750  0.37994543
      77.200  0.37585266
      77.840  0.37175989
      78.040  0.36800819
      78.440  0.36425648
      78.810  0.36050477
      79.130  0.35675307
      79.610  0.35300136
      80.190  0.34924966
      80.610  0.34549795
      80.960  0.34174625
      81.550  0.33799454
      81.940  0.33458390
      82.240  0.33117326
      82.520  0.32776262
      82.840  0.32435198
      83.210  0.32094134
      83.390  0.31753070
      83.690  0.31412005
      83.850  0.31070941
      84.240  0.30729877
      84.940  0.30388813
      85.390  0.30081855
      85.680  0.29774898
      85.980  0.29467940
      86.600  0.29160982
      86.890  0.28854025
      87.130  0.28547067
      87.550  0.28240109
      87.880  0.27933151
      88.310  0.27626194
      88.640  0.27319236
      89.200  0.27012278
      89.430  0.26739427
      89.770  0.26466576
      90.290  0.26193724
      90.890  0.25920873
      91.260  0.25648022
      91.730  0.25375171
      92.330  0.25102319
      92.700  0.24829468
      92.960  0.24556617
      93.370  0.24283765
      93.740  0.24010914
      94.210  0.23738063
      94.550  0.23499318
      95.010  0.23260573
      95.310  0.23021828
      95.670  0.22783083
      96.030  0.22544338
      96.450  0.22305593
      96.720  0.22066849
      96.950  0.21828104
      97.410  0.21589359
      97.790  0.21350614
      98.090  0.21111869
      98.570  0.20873124
      99.050  0.20634379
      99.180  0.20395634
      99.670  0.20190996
      99.870  0.19986357
     100.020  0.19781719
     100.340  0.19577080
     100.770  0.19372442
     101.100  0.19167804
     101.430  0.18963165
     101.690  0.18758527
     101.880  0.18553888
     102.090  0.18349250
     102.200  0.18144611
     102.590  0.17939973
     102.910  0.17735334
     103.500  0.17530696
     103.660  0.17326057
     103.980  0.17121419
     104.300  0.16916780
     104.610  0.16746248
     104.880  0.16575716
     105.250  0.16405184
     105.450  0.16234652
     105.830  0.16064120
     106.680  0.15893588
     106.850  0.15723056
     107.180  0.15552524
     107.410  0.15381992
     107.860  0.15211460
     108.300  0.15040928
     108.500  0.14870396
     108.840  0.14699864
     109.170  0.14529332
     109.350  0.14358799
     109.790  0.14188267
     110.130  0.14017735
     110.360  0.13847203
     110.840  0.13676671
     111.400  0.13506139
     111.490  0.13369714
     111.680  0.13233288
     111.910  0.13096862
     112.000  0.12960437
     112.140  0.12824011
     112.480  0.12687585
     112.720  0.12551160
     113.120  0.12414734
     113.360  0.12278308
     113.650  0.12141883
     114.130  0.12005457
     114.470  0.11869031
     115.210  0.11732606
     115.640  0.11596180
     116.120  0.11459754
     116.450  0.11323329
     116.870  0.11186903
     117.700  0.11050477
     117.960  0.10914052
     118.190  0.10777626
     118.630  0.10641201
     119.070  0.10504775
     119.510  0.10368349
     120.110  0.10231924
     120.320  0.10095498
     120.660  0.09993179
     120.830  0.09890859
     121.410  0.09788540
     121.510  0.09686221
     121.780  0.09583902
     122.030  0.09481583
     122.080  0.09379263
     122.580  0.09276944
     122.830  0.09174625
     123.330  0.09072306
     123.680  0.08969986
     123.770  0.08867667
     124.200  0.08765348
     124.600  0.08663029
     125.010  0.08560709
     125.170  0.08458390
     125.600  0.08356071
     125.910  0.08253752
     126.190  0.08151432
     126.710  0.08049113
     127.230  0.07946794
     127.600  0.07844475
     127.930  0.07742156
     128.110  0.07639836
     128.320  0.07537517
     129.100  0.07435198
     129.500  0.07332879
     130.150  0.07230559
     131.010  0.07128240
     131.150  0.07025921
     131.470  0.06923602
     131.780  0.06821282
     131.970  0.06753070
     132.530  0.06684857
     132.860  0.06616644
     133.390  0.06548431
     133.420  0.06480218
     134.460  0.06412005
     134.740  0.06343793
     134.940  0.06275580
     135.000  0.06207367
     136.830  0.06139154
     137.120  0.06070941
     137.130  0.06002729
     137.380  0.05934516
     137.490  0.05866303
     137.610  0.05798090
     137.730  0.05729877
     137.790  0.05661664
     138.210  0.05593452
     138.610  0.05525239
     138.810  0.05457026
     139.140  0.05388813
     139.410  0.05320600
     140.280  0.05252387
     140.810  0.05184175
     142.030  0.05115962
     142.420  0.05047749
     143.950  0.04979536
     144.480  0.04911323
     144.830  0.04843111
     144.860  0.04774898
     145.680  0.04706685
     146.400  0.04638472
     146.480  0.04570259
     146.570  0.04502046
     146.880  0.04433834
     147.210  0.04365621
     147.530  0.04297408
     147.860  0.04229195
     147.980  0.04160982
     148.300  0.04092769
     148.360  0.04024557
     149.150  0.03956344
     150.040  0.03888131
     150.430  0.03819918
     150.520  0.03751705
     150.980  0.03683492
     151.040  0.03615280
     152.760  0.03547067
     152.880  0.03478854
     153.970  0.03410641
     154.290  0.03376535
     154.350  0.03342428
     154.400  0.03308322
     154.950  0.03274216
     155.220  0.03240109
     155.760  0.03206003
     157.470  0.03171896
     157.500  0.03137790
     157.590  0.03103683
     157.930  0.03069577
     158.790  0.03035471
     159.390  0.03001364
     160.200  0.02967258
     160.330  0.02933151
     160.560  0.02899045
     161.170  0.02864939
     161.580  0.02830832
     161.990  0.02796726
     162.550  0.02762619
     162.670  0.02728513
     163.000  0.02694407
     163.320  0.02660300
     163.510  0.02626194
     163.700  0.02592087
     163.800  0.02557981
     164.740  0.02523874
     165.870  0.02489768
     166.950  0.02455662
     166.970  0.02421555
     167.290  0.02387449
     167.890  0.02353342
     168.700  0.02319236
     169.180  0.02285130
     169.720  0.02251023
     170.270  0.02216917
     170.470  0.02182810
     170.670  0.02148704
     171.180  0.02114598
     172.250  0.02080491
     173.210  0.02046385
     173.670  0.02012278
     174.110  0.01978172
     174.500  0.01944065
     176.070  0.01909959
     176.440  0.01875853
     177.910  0.01841746
     181.110  0.01807640
     181.120  0.01773533
     183.480  0.01739427
     184.520  0.01705321
     184.830  0.01671214
     185.530  0.01637108
     189.170  0.01603001
     190.250  0.01568895
     191.580  0.01534789
     191.680  0.01500682
     194.950  0.01466576
     199.560  0.01432469
     201.040  0.01398363
     202.950  0.01364256
     203.410  0.01330150
     206.220  0.01296044
     209.560  0.01261937
     212.890  0.01227831
     214.560  0.01193724
     214.670  0.01159618
     217.190  0.01125512
     217.330  0.01091405
     218.210  0.01057299
     220.820  0.01023192
     222.760  0.00989086
     223.850  0.00954980
     228.100  0.00920873
     228.550  0.00886767
     229.060  0.00852660
     232.810  0.00818554
     235.500  0.00784447
     237.450  0.00750341
     237.810  0.00716235
     239.050  0.00682128
     241.700  0.00648022
     244.370  0.00613915
     250.170  0.00579809
     258.300  0.00545703
     276.620  0.00511596
     286.940  0.00477490
     295.950  0.00443383
     297.000  0.00409277
     297.750  0.00375171
     405.610  0.00341064
     413.430  0.00306958
  983007.920  0.00272851
 1142184.010  0.00238745
 1148311.250  0.00204638
 1379573.570  0.00170532
 1398347.300  0.00136426
 1431002.640  0.00102319
 1431433.350  0.00068213
 1491629.820  0.00034106
 1689205.000  0.00000000
