# Digested data for unloaded_w3 experiment, run at 2026-04-20 23:17:48.953785
# Averaged across 1 repeated sample(s)
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
       8  0.010348      500    18.1     50.3  15263.0   1.0    2.8   842.8
      32  0.020697      500    17.8     36.3  15036.4   1.0    2.0   847.1
      36  0.031045      500    17.3     35.8  15031.5   1.0    2.1   867.4
      40  0.041393      500    17.3     37.9  15201.1   1.0    2.2   878.7
      46  0.051742      500    17.1     35.7  14860.4   1.0    2.1   866.5
      53  0.062090      500    16.4     34.3    235.5   1.0    2.1    14.3
      64  0.072438      500    16.2     54.8  15620.8   1.0    3.4   964.8
      70  0.082787      500    16.0     33.6     37.8   1.0    2.1     2.4
      77  0.093135      500    15.8  14897.7  15496.7   1.0  939.9   977.7
      85  0.103483      500    16.3    103.3  15392.9   1.0    6.3   942.0
      96  0.113832      500    16.4     68.4  15735.5   1.0    4.2   956.6
     110  0.124180      500    16.7     37.4  15125.4   1.0    2.2   906.8
     128  0.134528      500    16.6     34.7     35.8   1.0    2.1     2.2
     137  0.144877      500    16.6    104.7  15664.9   1.0    6.3   944.2
     146  0.155225      500    16.6     43.3  15132.9   1.0    2.6   908.9
     158  0.165573      500    16.6     34.7  15669.8   1.0    2.1   945.7
     171  0.175922      500    16.8     34.4  15639.6   1.0    2.0   932.6
     186  0.186270      500    16.8     36.2  15061.6   1.0    2.2   896.0
     205  0.196618      500    16.6     35.4  14961.5   1.0    2.1   900.8
     228  0.206966      500    16.4     49.0  15007.9   1.0    3.0   917.4
     256  0.217315      500    16.1     66.5  15446.4   1.0    4.1   959.4
     268  0.227663      500    16.1     33.5     44.9   1.0    2.1     2.8
     282  0.238011      500    16.1     34.1  15362.9   1.0    2.1   954.2
     296  0.248360      500    16.1     46.7  15248.8   1.0    2.9   946.0
     313  0.258708      500    16.0     33.5  14820.3   1.0    2.1   925.1
     331  0.269056      500    15.8     37.2  15110.5   1.0    2.4   953.9
     352  0.279405      500    15.8     35.3  15650.3   1.0    2.2   988.6
     375  0.289753      500    15.8     36.0  15040.5   1.0    2.3   950.7
     402  0.300101      500    15.8     32.7     33.0   1.0    2.1     2.1
     433  0.310450      500    15.8     33.0     33.5   1.0    2.1     2.1
     469  0.320798      500    16.0     87.2  15698.7   1.0    5.4   979.3
     512  0.331146      500    16.4     98.6  15598.9   1.0    6.0   950.6
     531  0.341495      500    16.5     69.6  15402.8   1.0    4.2   935.2
     551  0.351843      500    16.5     38.6  15533.4   1.0    2.3   943.1
     573  0.362191      500    16.5     34.5    285.6   1.0    2.1    17.3
     597  0.372540      500    16.4     41.5  15716.2   1.0    2.5   960.1
     623  0.382888      500    16.6     33.6  15632.3   1.0    2.0   941.1
     652  0.393236      500    16.7     92.5  15636.9   1.0    5.6   938.6
     683  0.403585      500    16.7    105.5  15630.4   1.0    6.3   937.6
     717  0.413933      500    16.8     37.2  15385.2   1.0    2.2   915.8
     755  0.424281      500    16.2     48.7  15478.5   1.0    3.0   952.5
     796  0.434630      500    16.0     33.0  14700.2   1.0    2.1   916.5
     843  0.444978      500    16.2     46.8  15625.5   1.0    2.9   965.7
     896  0.455326      500    16.4    237.3  15285.4   1.0   14.5   934.3
     956  0.465675      500    16.3     36.6  15615.5   1.0    2.2   956.2
    1024  0.476023      500    16.6     40.6  14762.0   1.0    2.4   890.3
    1053  0.486371      500    16.6     57.6  15579.2   1.0    3.5   939.1
    1084  0.496720      500    17.1     69.3  15387.5   1.0    4.1   901.4
    1117  0.507068      500    17.1     35.0    231.5   1.0    2.0    13.5
    1152  0.517416      500    17.1     36.3  15349.3   1.0    2.1   896.6
    1189  0.527765      500    17.2     99.9  15440.1   1.0    5.8   895.6
    1229  0.538113      500    17.3     44.5  14954.0   1.0    2.6   864.9
    1271  0.548461      500    17.4     35.8  14801.8   1.0    2.1   853.1
    1317  0.558810      500    17.5     35.3    263.6   1.0    2.0    15.1
    1365  0.569158      500    17.5    104.9  15369.5   1.0    6.0   879.3
    1418  0.579506      500    17.8  14915.7  15507.4   1.0  836.6   869.7
    1475  0.589855      500    27.6    146.2  30745.0   1.0    5.3  1115.6
    1536  0.600203      500    26.5     45.4    238.1   1.0    1.7     9.0
    1603  0.610551      500    26.1    158.4  30571.6   1.0    6.1  1170.4
    1676  0.620899      500    25.3    172.8  30939.5   1.0    6.8  1221.5
    1843  0.639796      913    24.6    178.0  31155.8   1.0    7.2  1263.9
    1940  0.650144      500    24.3    120.0  30592.5   1.0    4.9  1257.4
    2185  0.668792      901    24.4    135.8  30804.4   1.0    5.5  1265.6
    2341  0.679140      500    24.4    126.5    143.6   1.0    5.2     5.9
    2521  0.689488      500    24.7    157.2  30521.1   1.0    6.4  1236.7
    2731  0.699836      500    24.7    135.9  30769.7   1.0    5.5  1243.7
    2979  0.710185      500    26.0     42.5     43.9   1.0    1.6     1.7
    3277  0.720533      500    26.1    131.0  15415.1   1.0    5.0   589.7
    3641  0.730881      500    26.1    134.2  30681.2   1.0    5.1  1173.3
    4096  0.741230      500    26.4    134.4  15610.8   1.0    5.1   590.2
    4304  0.751578      500    69.5    155.3  15781.6   1.0    2.2   226.9
    4535  0.761926      500    28.0    160.7  31334.3   1.0    5.7  1118.3
    4792  0.772275      500    28.6    137.1  14577.9   1.0    4.8   510.4
    5079  0.782623      500    28.5    146.8  30549.2   1.0    5.2  1071.9
    5403  0.792971      500    28.1     46.5    308.0   1.0    1.7    11.0
    5772  0.803320      500    29.7    148.4  14948.2   1.0    5.0   503.0
    6194  0.813668      500    29.6    112.1  30674.3   1.0    3.8  1035.6
    6683  0.824016      500    29.5    130.6  30338.2   1.0    4.4  1027.7
    7256  0.834365      500    31.1     48.2     51.6   1.0    1.5     1.7
    7936  0.844713      500    31.1     48.3     55.4   1.0    1.6     1.8
    8612  0.855061      500    54.3    165.1  30262.0   1.0    3.0   557.6
    9330  0.865410      500    87.8    188.5  30674.1   1.0    2.1   349.6
   10178  0.875758      500    34.9    166.5  30310.4   1.0    4.8   867.7
   11196  0.886106      500    35.1    181.1  30754.6   1.0    5.2   875.5
   12440  0.896455      500    36.7    143.5  15480.2   1.0    3.9   422.3
   13995  0.906803      500    38.6    114.2  14979.5   1.0    3.0   388.1
   19514  0.927313      991    50.3    200.3  30893.7   1.0    4.0   729.0
   23469  0.937662      500    57.6    198.4  14939.1   1.0    3.4   259.5
   28471  0.948010      500    94.6    197.2  15043.2   1.0    2.1   159.1
   41486  0.960283      593   137.2  15223.7  15992.4   1.0   96.3   130.3
   60293  0.973984      662   166.2  15099.4  15582.4   1.0   89.1    97.0
  128223  0.987851      670   342.7  15624.7  16037.4   1.0   50.0    77.1
  568408  0.998199      500   700.6  16862.4  31374.2   1.0   28.1    46.8
 1000000  1.000000       87  2028.0  48780.9  48780.9   1.0   19.5    19.5
