# Fraction of RTTS longer than a given time for unloaded_w3 experiment
# Includes messages <= 85 bytes; measured at 2026-04-20 23:17:48.953785
# Averaged across 1 repeated sample(s)
# Data collected at 2026-04-20 23:17:48.953785 
#       usec        frac
      15.130  0.99980000
      15.290  0.99920000
      15.450  0.99200000
      15.530  0.98200000
      15.600  0.97200000
      15.650  0.96220000
      15.690  0.95240000
      15.730  0.94280000
      15.760  0.93320000
      15.790  0.92380000
      15.820  0.91440000
      15.840  0.90520000
      15.860  0.89600000
      15.890  0.88700000
      15.910  0.87800000
      15.940  0.86920000
      15.960  0.86040000
      15.980  0.85160000
      16.000  0.84300000
      16.020  0.83440000
      16.040  0.82600000
      16.050  0.81760000
      16.070  0.80940000
      16.090  0.80120000
      16.110  0.79300000
      16.120  0.78500000
      16.140  0.77700000
      16.160  0.76920000
      16.170  0.76140000
      16.190  0.75360000
      16.210  0.74600000
      16.230  0.73840000
      16.240  0.73100000
      16.260  0.72360000
      16.280  0.71620000
      16.290  0.70900000
      16.310  0.70180000
      16.330  0.69460000
      16.340  0.68760000
      16.360  0.68060000
      16.370  0.67360000
      16.390  0.66680000
      16.400  0.66000000
      16.410  0.65340000
      16.440  0.64680000
      16.450  0.64020000
      16.470  0.63360000
      16.490  0.62720000
      16.510  0.62080000
      16.530  0.61440000
      16.550  0.60820000
      16.560  0.60200000
      16.580  0.59580000
      16.610  0.58980000
      16.630  0.58380000
      16.640  0.57780000
      16.670  0.57200000
      16.690  0.56620000
      16.710  0.56040000
      16.740  0.55460000
      16.760  0.54900000
      16.790  0.54340000
      16.820  0.53780000
      16.840  0.53240000
      16.850  0.52700000
      16.870  0.52160000
      16.910  0.51620000
      16.930  0.51100000
      16.950  0.50580000
      16.970  0.50060000
      16.980  0.49540000
      17.000  0.49040000
      17.020  0.48540000
      17.030  0.48040000
      17.050  0.47540000
      17.060  0.47060000
      17.080  0.46580000
      17.090  0.46100000
      17.100  0.45620000
      17.120  0.45160000
      17.130  0.44700000
      17.150  0.44240000
      17.160  0.43780000
      17.170  0.43340000
      17.190  0.42900000
      17.200  0.42460000
      17.210  0.42020000
      17.220  0.41580000
      17.240  0.41160000
      17.250  0.40740000
      17.260  0.40320000
      17.270  0.39900000
      17.280  0.39500000
      17.300  0.39100000
      17.310  0.38700000
      17.320  0.38300000
      17.330  0.37900000
      17.350  0.37520000
      17.360  0.37140000
      17.370  0.36760000
      17.380  0.36380000
      17.390  0.36000000
      17.400  0.35620000
      17.410  0.35260000
      17.420  0.34900000
      17.430  0.34540000
      17.440  0.34180000
      17.450  0.33820000
      17.450  0.33480000
      17.460  0.33140000
      17.470  0.32800000
      17.480  0.32460000
      17.480  0.32120000
      17.500  0.31780000
      17.510  0.31460000
      17.520  0.31140000
      17.530  0.30820000
      17.540  0.30500000
      17.550  0.30180000
      17.560  0.29860000
      17.570  0.29560000
      17.580  0.29260000
      17.590  0.28960000
