# Digested data for dctcp_w4 experiment, run at 2026-04-20 23:41:54.510677
# Averaged across 1 repeated sample(s)
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
     119  0.010332      532  2679.5 1035780.3 2040016.1 159.2 62622.7 120000.9
     227  0.020916      545  2779.6 1037117.6 1136444.9 172.9 65023.0 70582.0
     248  0.030762      507  2658.9 1032740.7 2048777.0 167.1 65274.6 129669.4
     271  0.041113      533  2624.4 1040424.0 2039718.3 165.5 66121.7 131003.1
     297  0.051484      534  2747.8 1033836.0 1069054.1 167.9 62991.5 65027.6
     305  0.069817      944  2688.5 1028630.5 1100203.0 168.0 64570.9 69501.1
     310  0.086577      863  2734.7 1030791.3 2040069.3 172.9 65309.8 129282.0
     315  0.102890      840  2590.3 1034058.9 2040028.5 164.2 65720.9 129690.3
     321  0.119572      859  2701.5 1042278.1 1218016.7 170.4 66077.6 77432.7
     326  0.135943      843  2572.6 1034503.6 2040127.8 157.6 63436.9 125007.8
     335  0.149577      702  2594.7 1036309.2 2048364.1 157.3 63119.8 124900.2
     345  0.162181      649  2639.1 1033632.7 2032061.3 156.6 61343.2 120597.1
     355  0.174940      657  2717.1 1035073.3 2049274.0 160.7 61606.3 122053.2
     365  0.186961      619  2740.7 1030670.5 2031158.6 165.7 62799.8 123926.7
     376  0.199720      657  2583.9 1033766.3 1141227.9 155.0 63720.5 67408.6
     405  0.212421      654  2787.7 1036804.4 2049629.4 177.9 66098.4 131193.4
     430  0.224462      620  2866.1 1033925.7 1134077.1 183.4 66362.4 72977.9
     446  0.236406      615  2563.8 1034926.8 2030632.6 160.6 65182.7 125347.7
     463  0.249087      653  2709.6 1037353.2 2010003.1 163.9 63056.4 120648.4
     480  0.260798      603  2605.0 1031927.8 1066137.8 152.3 60093.3 61166.8
     491  0.280141      996  2667.5 1037014.4 2096078.2 155.1 60291.5 121865.0
     502  0.300590     1053  2699.2 1036262.2 2050005.2 162.9 62538.5 123717.9
     513  0.320302     1015  2666.2 1037682.4 1061246.6 158.9 61840.4 63244.7
     525  0.340519     1041  2642.2 1033015.8 2048451.6 159.7 62455.6 123848.3
     537  0.360095     1008  2496.3 1033748.7 2009143.3 151.8 62880.1 122210.7
     549  0.379302      989  2661.4 1031690.9 1083333.5 162.1 62831.4 65976.5
     561  0.400082     1070  2637.4 1030576.0 1090866.1 160.2 62610.9 66273.8
     574  0.419055      977  2622.9 1033079.7 1070191.1 160.3 63146.7 65415.1
     587  0.439253     1040  2682.0 1033796.9 2037879.6 164.8 63540.1 125253.8
     600  0.459314     1033  2828.0 1030581.7 1122015.7 179.2 65309.4 71103.7
     615  0.470811      592  2687.3 1029532.8 1071435.5 169.4 64983.1 67941.4
     630  0.482735      614  2655.5 1029194.8 1046973.2 163.5 63482.8 64628.0
     646  0.494038      582  2677.6 1030585.4 2048543.3 166.6 64253.9 127794.3
     662  0.506040      618  2642.2 1027915.7 1106331.1 164.7 64004.7 68973.3
     679  0.518003      616  2678.6 1032280.4 1170865.9 166.6 64316.5 72951.1
     696  0.527946      512  2543.8 1029337.5 1078136.4 157.7 63900.9 66799.0
     713  0.538006      518  2567.4 1034011.7 1110562.3 160.4 64745.1 69366.8
     731  0.548823      557  2704.9 1030637.9 2058264.0 170.3 64820.0 129613.6
     762  0.561524      654  2475.2 1028922.6 1048151.4 155.0 64548.0 65880.0
     800  0.575662      728  2730.0 1033139.8 2049575.0 169.9 64692.5 128086.9
     867  0.587276      598  2713.8 1033732.6 1104901.5 170.8 65055.5 69229.4
     945  0.597530      528  2656.1 1036725.8 2009198.1 164.0 64957.8 123795.3
    1042  0.609901      637  2673.1 1034055.4 2049826.3 163.8 63332.3 125988.1
    1177  0.622077      627  2505.8 1036512.1 1118848.9 150.2 62452.1 67481.8
    1316  0.632700      547  2511.9 1040106.9 1146595.2 147.9 61237.9 66623.8
    1484  0.645129      640  2774.7 1033818.4 1185046.9 112.3 59592.6 61381.4
    1585  0.656180      569  2810.0 1035190.6 1068167.9  85.4 41304.3 42606.4
    1664  0.668997      660  2689.4 1028880.2 1067217.4  71.4 40812.9 41757.0
    2742  0.680086      571  2652.2 1039641.9 2081335.5  80.4 41115.6 78452.1
    4582  0.691136      569  2607.8 1029238.2 1144182.8  86.5 37977.3 42361.5
    6653  0.702769      599  2763.8 1036003.3 2048466.2  27.7 10556.5 21053.1
   13741  0.713994      578  2684.1 1032801.1 2009224.3  28.6 12762.7 25043.3
   33343  0.724812      557  2946.0 1042106.3 2045633.2  39.5 17987.9 27238.8
   38377  0.735415      546  2948.8 1029350.8 1062577.2  33.3 13149.8 14042.3
   41214  0.745436      516  2694.6 1030768.7 1069981.1  27.8 11905.7 12148.6
   43811  0.756215      555  2577.7 1028740.4 2088653.7  23.6 11327.1 23132.7
   45634  0.766838      547  2881.8 1036564.5 1120337.5  27.6 11166.3 12197.5
   47435  0.780121      684  2889.1 1035430.4 1057867.1  28.0 10762.0 11009.1
   48609  0.791482      585  3001.3 1031139.4 1067712.1  22.5 10416.6 10591.7
   49813  0.803096      598  2914.5 1031320.5 1049094.7  24.1 10299.8 10460.7
   51046  0.814398      582  2979.4 1031258.7 2049638.7  22.0 9198.1 14526.1
   64132  0.824497      520  2957.3 1028124.3 1105530.1  17.2 6032.1  6099.5
   72473  0.835936      589  3185.2 1034490.8 1211995.9  18.1 5878.0  6878.5
   76416  0.847666      604  3351.2 1026983.5 1047725.7  15.0 4723.8  5104.0
   78948  0.859726      621  3598.7 1028313.3 1054862.4  13.2 4678.0  4754.2
   81565  0.871922      628  4427.0 1033083.1 1081285.9  19.4 4930.3  4974.6
