# Fraction of RTTS longer than a given time for dctcp_w4 experiment
# Includes messages <= 315 bytes; measured at 2026-04-20 23:41:54.510677
# Averaged across 1 repeated sample(s)
# Data collected at 2026-04-20 23:41:54.510677 
#       usec        frac
     124.620  0.99981125
     157.040  0.99962250
     195.400  0.99943375
     197.460  0.99924500
     200.920  0.99905625
     221.000  0.99867875
     226.500  0.99849000
     235.010  0.99830125
     237.680  0.99792374
     244.340  0.99773499
     262.170  0.99735749
     269.140  0.99697999
     275.810  0.99679124
     291.510  0.99641374
     297.220  0.99622499
     303.090  0.99584749
     315.460  0.99546999
     322.240  0.99509249
     326.490  0.99490374
     334.700  0.99471499
     339.160  0.99452624
     356.880  0.99433749
     361.340  0.99414874
     378.940  0.99395998
     396.630  0.99377123
     402.690  0.99320498
     409.090  0.99282748
     414.580  0.99244998
     424.570  0.99226123
     430.370  0.99188373
     435.160  0.99131748
     442.280  0.99112873
     448.980  0.99093998
     453.690  0.99075123
     464.430  0.99056248
     469.870  0.99018498
     480.090  0.98980747
     488.260  0.98961872
     493.490  0.98942997
     500.180  0.98924122
     512.770  0.98848622
     522.150  0.98829747
     531.760  0.98810872
     544.440  0.98716497
     552.580  0.98622122
     561.330  0.98603247
     568.600  0.98584371
     575.590  0.98508871
     586.780  0.98414496
     595.460  0.98357871
     601.560  0.98244621
     609.400  0.98150245
     615.600  0.98055870
     621.880  0.97999245
     628.580  0.97923745
     635.390  0.97867120
     647.810  0.97791619
     656.010  0.97659494
     663.170  0.97565119
     672.190  0.97470744
     679.650  0.97395243
     687.960  0.97263118
     696.470  0.97206493
     703.980  0.97112118
     712.470  0.97017743
     721.200  0.96942242
     736.510  0.96866742
     744.460  0.96810117
     752.390  0.96696867
     760.840  0.96564741
     770.020  0.96508116
     777.730  0.96375991
     786.700  0.96300491
     794.740  0.96206116
     806.850  0.96092865
     817.260  0.95960740
     827.070  0.95809740
     836.880  0.95696489
     845.380  0.95639864
     854.270  0.95507739
     862.870  0.95300113
     875.390  0.95111363
     884.270  0.95035863
     896.720  0.94922612
     908.700  0.94865987
     917.800  0.94677237
     930.800  0.94526236
     941.570  0.94394111
     954.090  0.94205361
     964.660  0.94092110
     975.810  0.93997735
     987.000  0.93827860
     997.460  0.93714609
    1009.410  0.93582484
    1020.050  0.93450359
    1030.440  0.93337108
    1040.970  0.93186108
    1053.830  0.92978482
    1064.460  0.92846357
    1075.110  0.92789732
    1087.650  0.92619857
    1099.960  0.92412231
    1113.580  0.92110230
    1127.260  0.91940355
    1139.370  0.91789354
    1153.190  0.91638354
    1169.010  0.91411854
    1181.430  0.91128728
    1194.220  0.90864477
    1206.250  0.90619102
    1218.450  0.90392601
    1232.120  0.90184975
    1245.130  0.89977350
    1257.630  0.89713099
    1271.940  0.89373348
    1284.930  0.89146848
    1298.330  0.88976972
    1315.670  0.88844847
    1329.020  0.88656097
    1343.560  0.88467346
    1358.430  0.88127595
    1373.830  0.87882220
    1387.860  0.87580219
    1401.960  0.87278218
    1416.250  0.87051718
    1430.650  0.86787467
    1446.010  0.86523216
    1461.160  0.86221216
    1475.880  0.85843715
    1491.030  0.85598339
    1506.600  0.85334088
    1521.740  0.85050963
    1538.150  0.84654587
    1554.400  0.84295961
    1570.500  0.83861835
    1587.910  0.83389958
    1603.870  0.83106833
    1620.190  0.82785957
    1637.210  0.82314081
    1654.120  0.81936580
    1671.660  0.81540204
    1688.430  0.80973952
    1705.700  0.80369951
    1724.520  0.79822575
    1742.250  0.79369573
    1759.850  0.78708947
    1777.720  0.78237071
    1796.730  0.77689694
    1815.360  0.77161193
    1834.050  0.76632692
    1852.780  0.75877690
    1871.400  0.75217063
    1890.430  0.74556436
    1909.400  0.73895810
    1929.380  0.73140808
    1950.230  0.72517931
    1969.880  0.71913930
    1989.680  0.71196678
    2005.370  0.70479426
    2024.410  0.69762174
    2044.700  0.69120423
    2060.660  0.68422046
    2081.430  0.67742544
    2102.310  0.67081918
    2123.590  0.66515666
    2141.730  0.65836165
    2160.070  0.65175538
    2178.170  0.64514911
    2196.160  0.63854285
    2216.530  0.63212533
    2233.970  0.62570781
    2256.720  0.61929030
    2271.710  0.61306153
    2294.500  0.60702152
    2314.430  0.60079275
    2337.620  0.59645149
    2354.500  0.59041148
    2376.230  0.58437146
    2394.920  0.57852020
    2416.360  0.57266893
    2437.740  0.56681767
    2454.450  0.56096640
    2467.180  0.55530389
    2489.270  0.54964137
    2509.390  0.54397886
    2529.830  0.53850510
    2552.790  0.53303133
    2574.080  0.52755757
    2594.490  0.52227256
    2618.310  0.51698754
    2640.710  0.51170253
    2659.760  0.50641752
    2684.840  0.50132125
    2704.480  0.49622499
    2724.300  0.49112873
    2747.820  0.48603247
    2769.530  0.48112495
    2794.720  0.47621744
    2822.880  0.47281993
    2849.340  0.46791242
    2865.750  0.46319366
    2884.870  0.45847490
    2903.790  0.45375613
    2932.170  0.44903737
    2952.090  0.44450736
    2981.090  0.43997735
    3001.930  0.43544734
    3022.090  0.43091733
    3044.640  0.42657607
    3069.980  0.42223481
    3089.300  0.41789354
    3116.480  0.41355228
    3143.010  0.40939977
    3165.760  0.40524726
    3191.880  0.40109475
    3219.970  0.39694224
    3238.580  0.39278973
    3260.950  0.38882597
    3287.080  0.38486221
    3315.960  0.38089845
    3339.150  0.37693469
    3362.230  0.37315968
    3392.500  0.36938467
    3406.590  0.36560966
    3430.160  0.36183465
    3462.810  0.35805965
    3490.880  0.35447339
    3510.240  0.35088713
    3536.730  0.34730087
    3550.680  0.34371461
    3573.420  0.34012835
    3592.840  0.33654209
    3620.950  0.33314458
    3634.920  0.32974707
    3656.570  0.32634957
    3673.670  0.32295206
    3691.960  0.31955455
    3718.460  0.31634579
    3733.890  0.31313703
    3756.350  0.30992827
    3779.530  0.30671952
    3796.590  0.30351076
    3817.480  0.30030200
    3845.940  0.29728199
    3865.510  0.29426199
    3885.540  0.29124198
    3906.260  0.28822197
    3928.750  0.28520196
    3950.720  0.28218196
    3961.480  0.27935070
    3983.400  0.27651944
    3997.440  0.27368818
    4014.210  0.27085693
    4042.120  0.26802567
    4068.270  0.26519441
    4094.340  0.26236316
    4114.010  0.25972065
    4130.070  0.25707814
    4148.140  0.25443564
    4166.660  0.25179313
    4184.310  0.24915062
    4216.480  0.24650812
    4242.130  0.24386561
    4262.410  0.24141185
    4275.210  0.23895810
    4289.380  0.23650434
    4320.250  0.23405059
    4349.530  0.23159683
    4373.340  0.22914307
    4403.370  0.22668932
    4418.320  0.22423556
    4451.020  0.22197055
    4480.830  0.21970555
    4505.980  0.21744054
    4540.240  0.21517554
    4568.520  0.21291053
    4602.540  0.21064553
    4643.170  0.20838052
    4676.000  0.20611552
    4699.740  0.20403926
    4731.640  0.20196300
    4768.880  0.19988675
    4794.800  0.19781049
    4811.990  0.19573424
    4852.830  0.19365798
    4892.120  0.19158173
    4919.520  0.18950547
    4970.550  0.18780672
    5002.630  0.18591921
    5029.220  0.18403171
    5058.770  0.18214421
    5079.910  0.18025670
    5121.850  0.17836920
    5155.130  0.17648169
    5190.910  0.17459419
    5238.290  0.17270668
    5282.520  0.17081918
    5329.360  0.16893167
    5370.250  0.16723292
    5408.700  0.16553416
    5433.050  0.16383541
    5461.050  0.16213666
    5495.360  0.16043790
    5527.340  0.15873915
    5553.760  0.15704039
    5592.060  0.15534164
    5638.070  0.15364288
    5695.020  0.15213288
    5735.870  0.15043413
    5758.890  0.14892412
    5789.210  0.14741412
    5828.250  0.14590411
    5864.300  0.14439411
    5896.670  0.14288411
    5952.140  0.14137410
    6005.980  0.13986410
    6028.130  0.13835410
    6054.670  0.13684409
    6091.890  0.13533409
    6150.040  0.13382408
    6224.960  0.13231408
    6257.210  0.13080408
    6330.950  0.12986032
    6382.990  0.12853907
    6419.920  0.12721782
    6459.380  0.12589656
    6498.190  0.12457531
    6542.120  0.12325406
    6594.390  0.12193280
    6618.870  0.12061155
    6670.740  0.11929030
    6747.010  0.11815780
    6828.310  0.11740279
    6911.650  0.11608154
    6959.680  0.11476029
    7031.190  0.11362778
    7105.080  0.11268403
    7159.700  0.11155153
    7238.630  0.11041903
    7283.180  0.10928652
    7349.130  0.10815402
    7429.240  0.10758777
    7511.590  0.10645527
    7575.570  0.10532276
    7646.050  0.10419026
    7723.120  0.10343526
    7838.750  0.10268026
    7880.990  0.10154775
    7949.200  0.10041525
    8007.670  0.09928275
    8091.080  0.09815025
    8172.430  0.09739524
    8269.350  0.09645149
    8360.250  0.09531899
    8450.180  0.09456399
    8553.470  0.09418649
    8724.490  0.09324273
    8784.880  0.09229898
    8875.960  0.09135523
    8953.460  0.09041148
    9133.510  0.09003398
    9240.380  0.08965647
    9297.640  0.08871272
    9398.950  0.08795772
    9492.100  0.08701397
    9587.220  0.08663647
    9659.130  0.08569271
    9774.060  0.08512646
    9854.120  0.08418271
    9965.750  0.08342771
   10077.190  0.08267271
   10218.440  0.08210646
