# Digested data for homa_w4 experiment, run at 2026-04-20 23:41:54.510677
# Averaged across 1 repeated sample(s)
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
     222  0.018163      534    57.3    192.1 1576832.1   3.5   11.3 98253.5
     259  0.037313      563    57.1    250.5 1513469.7   3.6   15.9 96769.2
     303  0.061122      700    60.2    191.8 1743062.2   3.7   11.8 108063.4
     310  0.086599      749    61.2    173.1 1210105.3   3.9   10.9 76686.0
     315  0.104014      512    63.1    203.1 1407022.5   4.0   12.9 89448.3
     321  0.121939      527    59.0    249.1 1677695.1   3.7   15.8 106655.8
     326  0.139490      516    62.7    182.6 1185610.5   3.8   11.2 72647.7
     340  0.158367      555    61.8    179.5 1680851.5   3.7   10.9 101134.3
     355  0.178367      588    62.6    219.4 1471649.3   3.7   13.0 87650.3
     371  0.197789      571    61.7    234.3 1269285.9   3.7   13.8 75735.2
     405  0.217483      579    58.4    267.3 1405493.8   3.6   17.1 86973.6
     441  0.238571      620    59.5    177.4 1635768.7   3.8   11.3 104588.8
     468  0.259320      610    62.9    218.6 1737214.4   3.8   12.9 106186.7
     491  0.286701      805    60.0    170.7 1667311.5   3.5    9.9 96936.7
     502  0.305850      563    59.4    314.6 1730961.9   3.6   19.0 104463.6
     513  0.325374      574    60.8    217.2 1414881.0   3.6   12.9 84319.5
     525  0.344252      555    61.2    292.7 1712134.2   3.7   17.7 103514.8
     537  0.365136      614    59.9    241.5 1323999.5   3.6   14.7 80535.2
     549  0.385646      603    60.6    217.5 1723734.3   3.7   13.2 104977.7
     561  0.404932      567    60.1    214.8 1525117.3   3.7   13.0 92656.0
     574  0.424252      568    60.9    181.1 1570479.0   3.7   11.1 95995.0
     587  0.443061      553    60.9    201.1 1689099.7   3.7   12.4 103816.8
     600  0.462857      582    62.2    233.5    337.2   3.9   14.8    21.4
     623  0.479966      503    55.9    179.8 1722084.7   3.5   11.2 105390.7
     646  0.497789      524    60.7    161.7    316.9   3.8   10.0    19.6
     671  0.514932      504    59.8    348.3 1875157.0   3.7   21.7 116832.2
     702  0.534456      574    62.1    220.2 1627198.5   3.9   13.7 102597.6
     737  0.554592      592    63.1    267.7 1721224.1   4.0   16.7 108321.2
     787  0.573367      552    61.4    210.6 2022776.8   3.8   13.2 126661.0
     867  0.591531      534    61.0    177.4 1925631.1   3.8   11.0 119902.3
    1009  0.609184      519    59.7    194.4 1869346.4   3.7   11.9 114263.2
    1226  0.627109      527    59.4    214.8 1532095.7   3.6   12.9 91907.4
    1484  0.644830      521    66.2    362.3 1402256.5   3.0   21.3 81479.2
    1637  0.665306      602    74.8    235.7 3040806.8   1.9    9.5 122415.7
    3118  0.682823      515    76.4    221.4 3200234.5   2.0    7.7 127601.1
    6653  0.701497      549    81.4    212.1 3164356.5   1.3    6.2 32428.3
   31946  0.719932      542   104.6    375.8 3022715.6   1.1    6.6 29979.9
   39327  0.738061      533   152.7    363.1 1690720.8   1.8    4.4 19888.5
   43811  0.756327      537   168.7 789229.7 1664291.8   1.5 7319.3 14646.3
   46763  0.776429      591   174.1 169430.0 1971638.8   1.6 1844.6 17130.2
   48609  0.795442      559   178.8 144969.6 1624408.9   1.5  909.2 11274.4
   50632  0.814422      558   180.8 134404.8 1883277.6   1.4  813.7 18677.8
   69014  0.832789      540   207.5 1336584.8 1741138.1   1.3 7786.7 10143.5
   77041  0.851701      556   275.7 320739.6 1791596.1   1.3 1480.5  9434.7
   80903  0.869354      519   318.4 1581839.5 1741814.1   1.3 5582.0  7797.4
  102058  0.889762      600   365.3 839785.8 1559538.4   1.2 3029.8  6796.4
  135199  0.908129      540   523.5 1557753.9 1936240.2   1.4 3730.6  4779.5
  181304  0.925408      508  6835.0 1468925.9 2764041.6  13.4 3236.1  6517.0
  240177  0.944966      575 22442.3 1626149.6 1977683.6  37.0 2487.5  3019.7
  514641  0.964524      575 110374.1 1741931.1 1815957.0 127.8 2283.8  2554.7
 1000000  1.000000     1043 3928326.0 5819718.5 6415740.1 1856.9 2750.8  3032.6
