# Fraction of RTTS longer than a given time for homa_w4 experiment
# Includes messages <= 315 bytes; measured at 2026-04-20 23:41:54.510677
# Averaged across 1 repeated sample(s)
# Data collected at 2026-04-20 23:41:54.510677 
#       usec        frac
      17.010  0.99967299
      17.850  0.99934598
      18.080  0.99869196
      18.510  0.99803793
      18.700  0.99607587
      18.900  0.99345978
      19.120  0.99247874
      19.400  0.99084369
      19.700  0.99018967
      19.910  0.98855461
      20.250  0.98790059
      20.480  0.98495749
      20.740  0.98364944
      20.960  0.98234140
      21.200  0.97972531
      21.430  0.97743623
      21.750  0.97482014
      21.980  0.97155003
      22.210  0.96893394
      22.520  0.96599084
      22.790  0.95945062
      23.040  0.95519948
      23.290  0.95127534
      23.570  0.94669719
      23.810  0.94146501
      24.050  0.93721387
      24.310  0.93296272
      24.560  0.92871158
      24.830  0.92315239
      25.080  0.91988228
      25.340  0.91334205
      25.610  0.90876390
      25.870  0.90287770
      26.130  0.89928058
      26.410  0.89437541
      26.710  0.89143231
      26.980  0.88391105
      27.260  0.87835186
      27.540  0.87475474
      27.840  0.87050360
      28.130  0.86690647
      28.430  0.86363636
      28.740  0.86069326
      29.030  0.85709614
      29.330  0.85153695
      29.670  0.84663179
      29.970  0.83976455
      30.270  0.83584042
      30.640  0.83060824
      30.970  0.82701112
      31.280  0.82177894
      31.630  0.81621975
      31.950  0.81262263
      32.280  0.80804447
      32.610  0.80379333
      32.990  0.80019621
      33.320  0.79431001
      33.690  0.78875082
      34.070  0.78188358
      34.420  0.77632440
      34.770  0.77338129
      35.130  0.76913015
      35.500  0.76487901
      35.900  0.76160889
      36.280  0.75637672
      36.660  0.75179856
      37.050  0.74787443
      37.430  0.74427731
      37.850  0.73969915
      38.250  0.73577502
      38.640  0.72923479
      39.050  0.72498365
      39.540  0.72073250
      39.940  0.71648136
      40.360  0.71092217
      40.780  0.70568999
      41.190  0.69882276
      41.670  0.69326357
      42.110  0.68835840
      42.540  0.68378025
      43.010  0.67789405
      43.450  0.67266187
      43.890  0.66742969
      44.360  0.66219751
      44.810  0.65729235
      45.300  0.65271419
      45.760  0.64813604
      46.280  0.64159581
      46.790  0.63832570
      47.280  0.63178548
      47.780  0.62720733
      48.320  0.62132112
      48.850  0.61510791
      49.400  0.61118378
      49.910  0.60562459
      50.470  0.60006540
      50.900  0.59385219
      51.360  0.58763898
      51.660  0.58175278
      51.970  0.57586658
      52.430  0.56998038
      52.970  0.56540222
      53.590  0.56049706
      54.150  0.55853499
      54.650  0.55264879
      55.230  0.54905167
      55.800  0.54349248
      56.400  0.53858731
      56.900  0.53302812
      57.290  0.52746893
      57.790  0.52190974
      58.390  0.51765860
      58.860  0.51242642
      59.350  0.50719424
      59.690  0.50196207
      60.240  0.49672989
      60.720  0.49149771
      61.360  0.48659254
      62.060  0.48168738
      62.440  0.47678221
      63.000  0.47187704
      63.540  0.46697188
      64.150  0.46206671
      64.680  0.45716154
      65.200  0.45258339
      65.600  0.44800523
      66.200  0.44342708
      66.640  0.43884892
      67.070  0.43427077
      67.680  0.42969261
      68.020  0.42511445
      68.440  0.42086331
      69.020  0.41661216
      69.430  0.41236102
      69.740  0.40810988
      70.190  0.40385873
      70.650  0.39960759
      71.010  0.39535644
      71.480  0.39110530
      71.740  0.38718116
      71.940  0.38325703
      72.290  0.37933290
      72.490  0.37540876
      72.910  0.37148463
      73.390  0.36756050
      73.820  0.36363636
      74.350  0.35971223
      74.700  0.35578810
      74.900  0.35219097
      75.160  0.34859385
      75.280  0.34499673
      75.660  0.34139961
      76.090  0.33780249
