# Digested data for unloaded_w4 experiment, run at 2026-04-20 23:41:54.510677
# Averaged across 1 repeated sample(s)
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
      60  0.006131      500    17.0     52.0  15478.9   1.0    3.1   910.5
      72  0.012263      500    16.8     40.6  15573.2   1.0    2.4   925.3
      92  0.018394      500    16.6     34.2     43.6   1.0    2.1     2.6
     119  0.024525      500    16.5     34.6  15103.5   1.0    2.1   913.2
     154  0.030657      500    16.3     34.5  14979.0   1.0    2.1   919.0
     199  0.036788      500    16.1     45.7  15403.7   1.0    2.8   959.1
     222  0.042920      500    15.9     33.2  15427.5   1.0    2.1   967.2
     227  0.049051      500    16.1     60.5  15313.7   1.0    3.8   952.3
     232  0.055182      500    16.0     34.4  15680.3   1.0    2.1   978.2
     237  0.061314      500    15.9     39.1  15342.7   1.0    2.5   961.9
     243  0.067445      500    15.8     45.4  14984.3   1.0    2.9   948.4
     248  0.073576      500    16.0     38.9  14607.9   1.0    2.4   914.7
     254  0.079708      500    15.6     32.9  15399.0   1.0    2.1   989.0
     259  0.085839      500    15.6  14796.2  15705.9   1.0  946.1  1004.2
     265  0.091970      500    16.1     65.3  15450.0   1.0    4.1   961.4
     271  0.098102      500    16.2     33.7  15107.6   1.0    2.1   932.0
     279  0.104233      500    16.4     57.0  15966.3   1.0    3.5   971.2
     288  0.110364      500    16.4     46.7  15287.0   1.0    2.8   930.4
     297  0.116496      500    16.2     42.8  15087.5   1.0    2.6   929.0
     303  0.122627      500    16.1     31.8     33.5   1.0    2.0     2.1
     305  0.128759      500    15.8     34.5  15143.1   1.0    2.2   956.6
     308  0.134890      500    15.8     32.7  15018.6   1.0    2.1   948.7
     310  0.141021      500    15.8     35.4  15541.5   1.0    2.2   984.9
     313  0.147153      500    15.8     32.5  14916.1   1.0    2.1   944.1
     315  0.153284      500    15.7     39.0  15098.5   1.0    2.5   959.9
     318  0.159415      500    15.7     34.7  15159.1   1.0    2.2   963.7
     321  0.165547      500    16.1  14867.2  15559.0   1.0  925.7   968.8
     323  0.171678      500    16.3     33.6     46.4   1.0    2.1     2.8
     326  0.177809      500    16.3     40.9  15031.7   1.0    2.5   924.5
     331  0.183941      500    16.4     43.4  15729.6   1.0    2.6   959.1
     335  0.190072      500    16.6     43.9  15620.1   1.0    2.6   939.8
     340  0.196203      500    16.9     90.6  15761.5   1.0    5.4   935.4
     345  0.202335      500    16.9     39.9  15729.2   1.0    2.4   932.9
     350  0.208466      500    16.9     37.5     48.5   1.0    2.2     2.9
     355  0.214598      500    16.8     34.7  15643.3   1.0    2.1   931.7
     360  0.220729      500    16.7     34.1  15004.2   1.0    2.0   899.0
     365  0.226860      500    16.4     37.2  15644.5   1.0    2.3   954.5
     371  0.232992      500    16.9     39.9  15344.0   1.0    2.4   906.3
     376  0.239123      500    16.2     37.5  15516.3   1.0    2.3   960.2
     385  0.245254      500    15.9     33.4     46.0   1.0    2.1     2.9
     395  0.251386      500    15.8     36.3  15384.1   1.0    2.3   974.9
     405  0.257517      500    15.6     32.7     38.3   1.0    2.1     2.5
     415  0.263648      500    15.6     32.6    229.4   1.0    2.1    14.7
     425  0.269780      500    15.5     32.4  15712.1   1.0    2.1  1011.1
     430  0.275911      500    15.6    101.4  15448.9   1.0    6.5   987.8
     435  0.282042      500    15.8     47.4  15466.8   1.0    3.0   979.5
