# Fraction of RTTS longer than a given time for unloaded_w4 experiment
# Includes messages <= 279 bytes; measured at 2026-04-20 23:41:54.510677
# Averaged across 1 repeated sample(s)
# Data collected at 2026-04-20 23:41:54.510677 
#       usec        frac
      14.820  0.99988235
      14.980  0.99917647
      15.130  0.99470588
      15.220  0.98470588
      15.300  0.97482353
      15.360  0.96505882
      15.400  0.95529412
      15.440  0.94564706
      15.470  0.93611765
      15.500  0.92670588
      15.520  0.91741176
      15.540  0.90823529
      15.560  0.89905882
      15.580  0.89000000
      15.600  0.88105882
      15.620  0.87223529
      15.640  0.86341176
      15.650  0.85470588
      15.670  0.84611765
      15.680  0.83764706
      15.700  0.82917647
      15.710  0.82082353
      15.730  0.81258824
      15.740  0.80435294
      15.750  0.79623529
      15.760  0.78823529
      15.780  0.78023529
      15.790  0.77235294
      15.800  0.76458824
      15.820  0.75694118
      15.830  0.74929412
      15.840  0.74176471
      15.850  0.73423529
      15.860  0.72682353
      15.880  0.71952941
      15.890  0.71223529
      15.900  0.70505882
      15.910  0.69800000
      15.920  0.69094118
      15.930  0.68400000
      15.940  0.67705882
      15.940  0.67023529
      15.950  0.66352941
      15.960  0.65682353
      15.970  0.65023529
      15.980  0.64364706
      15.990  0.63717647
      16.000  0.63070588
      16.010  0.62435294
      16.020  0.61800000
      16.030  0.61176471
      16.030  0.60564706
      16.040  0.59952941
      16.050  0.59352941
      16.060  0.58752941
      16.070  0.58164706
      16.080  0.57576471
      16.090  0.57000000
      16.100  0.56423529
      16.100  0.55858824
      16.110  0.55294118
      16.120  0.54741176
      16.130  0.54188235
      16.140  0.53635294
      16.150  0.53094118
      16.160  0.52552941
      16.160  0.52023529
      16.170  0.51494118
      16.180  0.50976471
      16.190  0.50458824
      16.200  0.49952941
      16.210  0.49447059
      16.210  0.48941176
      16.220  0.48447059
      16.230  0.47952941
      16.240  0.47470588
      16.240  0.46988235
      16.250  0.46517647
      16.260  0.46047059
      16.270  0.45576471
      16.270  0.45117647
      16.280  0.44658824
      16.290  0.44211765
      16.300  0.43764706
      16.310  0.43317647
      16.310  0.42882353
      16.320  0.42447059
      16.330  0.42011765
      16.340  0.41588235
      16.340  0.41164706
      16.350  0.40752941
      16.360  0.40341176
      16.370  0.39929412
      16.370  0.39529412
      16.380  0.39129412
      16.390  0.38729412
      16.400  0.38341176
      16.400  0.37952941
      16.410  0.37564706
      16.420  0.37188235
      16.430  0.36811765
      16.440  0.36435294
      16.450  0.36070588
      16.460  0.35705882
      16.460  0.35341176
      16.470  0.34976471
      16.480  0.34623529
      16.490  0.34270588
      16.500  0.33917647
      16.510  0.33576471
      16.510  0.33235294
      16.520  0.32894118
      16.530  0.32564706
      16.540  0.32235294
      16.550  0.31905882
      16.550  0.31576471
      16.560  0.31258824
      16.570  0.30941176
      16.580  0.30623529
      16.590  0.30305882
      16.590  0.30000000
      16.600  0.29694118
      16.610  0.29388235
      16.620  0.29094118
      16.620  0.28800000
      16.630  0.28505882
      16.640  0.28211765
      16.650  0.27929412
      16.650  0.27647059
      16.660  0.27364706
      16.670  0.27082353
      16.680  0.26800000
      16.690  0.26529412
      16.690  0.26258824
      16.700  0.25988235
      16.700  0.25717647
      16.710  0.25458824
      16.720  0.25200000
      16.730  0.24941176
      16.740  0.24682353
      16.750  0.24435294
      16.750  0.24188235
      16.760  0.23941176
      16.770  0.23694118
      16.780  0.23447059
      16.790  0.23211765
      16.800  0.22976471
      16.800  0.22741176
      16.810  0.22505882
      16.820  0.22270588
      16.820  0.22047059
      16.830  0.21823529
      16.840  0.21600000
      16.850  0.21376471
      16.850  0.21152941
      16.860  0.20941176
      16.870  0.20729412
      16.880  0.20517647
      16.890  0.20305882
      16.890  0.20094118
      16.910  0.19882353
      16.920  0.19682353
      16.930  0.19482353
      16.940  0.19282353
      16.950  0.19082353
      16.960  0.18882353
      16.970  0.18682353
      16.980  0.18494118
      16.990  0.18305882
      17.000  0.18117647
      17.000  0.17929412
      17.010  0.17741176
      17.030  0.17552941
      17.040  0.17376471
      17.050  0.17200000
