# Digested data for dctcp_tfo_http2_w4 experiment, run at 2026-04-01 21:42:06.044442
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
      60  0.002131     1014   607.6   4873.1  11135.7  29.7  237.9   543.7
      72  0.004569     1160   634.7   4332.1   6930.4  31.4  214.2   342.7
      92  0.007110     1209   644.4   5023.6  13805.6  32.1  249.9   686.8
     119  0.009328     1055   684.3   5129.1  12876.3  33.7  252.7   634.3
     154  0.012041     1291   594.8   4224.8  11378.9  29.3  208.3   561.1
     199  0.014612     1223   624.1   4300.2   9929.0  30.5  210.4   485.8
     222  0.017746     1491   607.4   4408.8   8403.5  29.8  216.2   412.1
     227  0.020243     1188   647.8   4812.3   9326.0  31.9  236.8   459.0
     232  0.022878     1254   645.0   4696.7  10404.6  31.8  231.8   513.6
     237  0.025371     1186   566.9   4735.1   7173.0  28.0  233.6   353.9
     243  0.028070     1284   674.7   4964.6   8373.2  33.3  245.2   413.5
     248  0.030766     1283   606.9   4119.0   9771.6  30.1  204.3   484.7
     254  0.033684     1388   588.6   4805.9   6197.5  29.1  237.6   306.4
     259  0.036527     1353   594.6   5372.3   9096.2  29.4  265.4   449.4
     265  0.039382     1358   673.4   4464.6   8180.8  33.3  220.5   404.0
     271  0.041702     1104   558.6   4260.1   6107.7  27.6  210.5   301.8
     279  0.044781     1465   555.7   5083.9  11417.8  27.4  250.6   562.7
     288  0.047787     1430   611.4   4314.5   6018.7  30.2  213.1   297.2
     297  0.050860     1462   558.4   3870.6   5902.4  27.2  188.6   287.6
     303  0.061186     4913   615.0   4522.8   7832.3  29.7  218.7   378.7
     305  0.069709     4055   669.6   5111.7  10333.4  32.3  246.9   499.2
     308  0.077645     3776   595.2   4372.2  11442.3  28.8  211.4   553.3
     310  0.087107     4502   626.3   4908.7   8863.7  30.2  236.8   427.6
     313  0.095531     4008   600.2   4929.8   8322.2  29.2  239.5   404.4
     315  0.104023     4040   605.5   4514.9   7175.6  29.4  219.2   348.3
     318  0.113283     4406   575.9   4737.9  10561.7  27.9  229.4   511.5
     321  0.121276     3803   578.4   4255.8   8420.2  28.1  206.8   409.1
     323  0.130014     4157   691.8   5147.1   8684.3  33.6  250.2   422.2
     326  0.138257     3922   610.0   4841.5   7255.3  29.7  235.7   353.2
     331  0.144688     3060   612.3   5005.1   8157.4  29.8  243.9   397.5
     335  0.151404     3195   622.7   4826.1   7748.8  30.3  235.2   377.6
     340  0.156923     2626   615.2   4710.3   9127.3  29.9  229.2   444.1
     345  0.163565     3160   552.9   4551.9   8053.5  26.9  221.2   391.3
     350  0.169872     3001   631.0   4950.2  10459.4  30.6  239.7   506.5
     355  0.177491     3625   610.6   4951.9  10385.8  29.5  239.5   502.2
     360  0.184078     3134   662.3   4564.0   8580.3  31.8  219.1   411.9
     365  0.190651     3127   632.1   4485.1   7926.5  30.3  214.8   379.6
     371  0.197038     3039   555.4   4151.7   8389.5  26.8  200.4   404.9
     376  0.202982     2828   580.9   4285.9   9581.7  28.0  206.7   462.2
     385  0.206969     1897   584.7   4449.8  11907.3  28.2  214.9   575.0
     395  0.210851     1847   623.0   5381.4   8891.8  30.0  259.3   428.5
     405  0.215189     2064   656.0   4883.2   7327.1  31.6  235.0   352.6
     415  0.219197     1907   662.6   5742.7  12789.3  31.8  275.7   614.0
     425  0.223143     1877   635.0   4499.8  11947.2  30.5  216.1   573.8
     430  0.226968     1820   544.6   4140.4   7448.3  26.2  198.9   357.7
     435  0.230842     1843   606.7   4015.8   7570.3  29.2  193.3   364.5
     441  0.234427     1706   542.2   4461.6   7387.6  26.1  214.6   355.3
     446  0.238528     1951   617.5   4139.4  10163.6  29.7  199.1   488.9
     452  0.242177     1736   607.6   4627.7   8277.4  29.3  222.9   398.7
     457  0.246601     2105   597.8   4940.7   8363.1  28.7  237.3   401.7
     463  0.250556     1882   634.5   4551.6  10501.3  30.3  217.2   501.0
     468  0.254827     2032   615.1   4777.2   7340.0  29.3  227.4   349.4
     474  0.258407     1703   615.2   5009.0   8089.1  29.3  238.9   385.7
     480  0.261883     1654   569.1   4584.2   7579.6  27.1  218.5   361.3
     491  0.282218     9675   619.4   5137.4   8291.8  29.5  244.3   394.3
     502  0.302150     9483   588.1   4359.2   7834.8  28.0  207.7   373.3
     513  0.321011     8974   644.8   4883.5   8656.3  30.8  233.0   413.0
     525  0.340438     9243   645.1   5123.2   9027.1  30.6  242.7   427.6
     537  0.358192     8447   627.8   4823.9   8544.2  29.7  228.1   404.0
     549  0.378283     9559   638.3   5188.4   9052.7  30.2  245.3   428.0
     561  0.398616     9674   613.5   4715.0   9392.0  29.2  224.6   447.5
     574  0.418205     9320   591.3   5040.5   8849.5  28.1  239.7   420.8
     587  0.436751     8824   633.3   4798.8   9872.5  30.1  228.1   469.2
     600  0.456435     9365   597.3   4217.3   8816.4  28.4  200.3   418.8
     607  0.462133     2711   625.3   4286.6   8014.7  29.8  204.0   381.5
     615  0.468377     2971   690.0   4902.7   8890.1  32.7  232.6   421.7
     623  0.474073     2710   554.1   4851.8   9057.6  26.3  230.1   429.5
     630  0.479967     2804   563.1   4593.4   8411.9  26.7  218.1   399.4
     638  0.486549     3132   636.9   4929.9   9816.9  30.2  233.6   465.3
     646  0.492529     2845   653.5   4117.8   7058.4  31.0  195.3   334.8
     654  0.498637     2906   635.7   5128.9   8650.8  30.2  243.3   410.4
     662  0.503587     2355   611.1   5086.4  10063.9  28.9  240.7   476.3
     671  0.509339     2737   635.0   4411.0   7532.3  30.1  208.9   356.6
     679  0.514758     2578   636.5   4976.4  12390.9  30.1  235.5   586.4
     685  0.518165     1621   684.8   4497.3   9754.9  32.4  212.7   461.4
     690  0.521692     1678   661.7   4995.0  10231.3  31.4  236.7   484.9
     696  0.524899     1526   593.4   4665.2   8732.1  28.1  221.2   414.0
     702  0.528392     1662   541.4   4611.0   7822.2  25.6  218.2   370.2
     707  0.531642     1546   650.6   4516.5  10368.9  30.9  214.5   492.3
     713  0.535221     1703   567.4   4924.5   9817.9  26.9  233.6   465.7
     719  0.538599     1607   651.4   4637.2   9420.9  30.9  220.1   447.1
     725  0.542189     1708   690.3   4858.8  10288.1  32.7  229.9   486.9
     731  0.545703     1672   566.1   5057.2   7319.6  26.8  239.8   347.1
     737  0.548855     1500   722.1   6041.7  10780.9  34.2  285.8   510.0
     749  0.554011     2453   623.7   4463.2   7297.0  29.4  210.4   344.0
     762  0.558454     2114   620.8   4186.6   9839.9  29.3  197.8   464.8
     774  0.563352     2330   623.0   4656.0   9939.9  29.2  218.4   466.2
     787  0.568589     2492   571.8   4154.5   8273.8  26.9  195.5   389.4
     800  0.573342     2261   607.5   4539.9   8301.2  28.6  213.4   390.3
     816  0.576238     1378   585.3   5082.4  11130.2  27.5  238.5   522.3
     833  0.579252     1434   587.8   3921.3   6175.2  27.6  184.2   290.1
     850  0.582701     1641   643.8   4220.5   8463.1  30.2  198.0   397.0
     867  0.585547     1354   551.4   3982.6   6919.5  25.7  185.8   322.7
     885  0.588302     1311   667.5   5153.6  10243.3  31.2  241.2   479.3
     914  0.591955     1738   612.1   5106.1   8684.0  28.5  238.2   405.0
     945  0.595181     1535   610.7   4473.1   8909.5  28.5  208.7   415.7
     976  0.598889     1764   681.0   4263.7   6474.5  31.7  198.4   301.3
    1009  0.602531     1733   651.6   5038.5   8854.1  30.2  233.7   410.7
    1042  0.606437     1858   669.3   4926.1   8963.0  30.9  227.6   414.2
    1085  0.610371     1872   610.8   4763.7   8151.0  28.1  219.4   375.5
    1130  0.614129     1788   692.5   4621.3  10078.8  31.9  213.1   464.7
    1177  0.618249     1960   578.8   4898.6  10822.8  26.5  224.5   496.0
    1226  0.621450     1523   624.8   4078.5   6318.8  28.6  186.8   289.5
    1277  0.625071     1723   630.4   4492.7   7225.3  28.8  205.5   330.5
    1316  0.628346     1558   629.2   4046.3   8316.6  28.6  183.8   377.9
    1357  0.631473     1488   572.5   4820.9   7903.8  26.1  220.1   360.9
    1399  0.634847     1605   578.4   4577.2  10265.6  26.3  208.4   467.5
    1436  0.637556     1289   627.4   4293.4   9868.9  24.6  168.2   386.6
    1484  0.640639     1467   598.7   4473.5  10468.1  23.6  176.1   412.0
    1534  0.643737     1474   530.8   3983.1   6616.5  20.8  156.4   259.8
    1559  0.647600     1838   584.6   4544.6   8430.1  22.8  177.2   328.7
    1585  0.651455     1834   638.5   4945.4   8238.0  24.9  192.8   321.2
    1611  0.655777     2056   640.5   4712.0   7796.4  25.0  183.9   304.3
    1637  0.659852     1939   631.2   4751.2  13112.5  24.7  186.0   513.4
    1664  0.663608     1787   615.9   4520.1   6935.8  24.0  176.2   270.4
    1865  0.666414     1335   667.8   4134.1   7701.5  25.9  160.6   299.2
    2091  0.669297     1372   679.6   4968.6   9673.2  26.1  191.1   372.0
    2412  0.672845     1688   609.0   4711.1   7388.7  23.4  180.8   283.6
    2742  0.675760     1387   656.5   4746.6   7461.2  25.1  181.7   285.7
    3118  0.678562     1333   576.5   4541.2   7519.6  21.0  165.6   274.2
    3544  0.681503     1399   638.7   4552.8   6827.6  23.0  163.9   245.8
    4030  0.684079     1226   557.4   5414.0  10122.7  19.6  190.8   356.7
    4582  0.686820     1304   607.9   4052.8   6293.2  20.4  136.0   211.3
    5210  0.690122     1571   602.1   4655.1   7231.2  20.0  154.4   239.8
    5652  0.693403     1561   596.9   4914.5   8140.8  19.7  162.5   269.1
    6132  0.696116     1291   666.4   4928.4   9320.7  20.6  152.4   288.3
    6653  0.699225     1479   646.8   4476.3   7263.9  20.0  138.1   224.1
    7217  0.702016     1328   731.4   4947.5   6732.5  21.7  147.1   200.1
    7830  0.704824     1336   706.5   5447.2  10728.5  20.7  159.4   313.9
   10373  0.707624     1332   743.9   5088.0   8543.0  18.4  126.0   211.5
   13741  0.710157     1205   622.1   4411.3   7071.9  13.8   97.9   156.9
   18203  0.712838     1276   666.1   5121.1  16304.9  13.0   99.7   317.3
   24115  0.715657     1341   696.1   4505.5  10669.5  10.9   70.7   167.3
   31946  0.717984     1107   702.2   5371.5   9344.4   9.1   70.0   121.8
   33343  0.720300     1102   722.4   4499.2   6868.3   9.1   56.9    86.8
   34801  0.723179     1370   744.7   4533.9   9173.7   9.2   56.0   113.3
   36322  0.725882     1286   712.5   4802.6  10227.3   8.5   57.4   122.1
   37450  0.728690     1336   761.6   4506.2   9140.8   8.5   50.1   101.6
   38377  0.731595     1382   677.1   4337.9   7981.6   7.3   46.9    86.3
   39327  0.734735     1494   739.2   4908.4   9752.4   7.9   52.7   104.7
   40382  0.738701     1887   831.0   4565.1   8654.8   8.7   47.7    90.4
   41214  0.742369     1745   734.9   4919.4   7467.2   7.5   50.5    76.6
   42062  0.745965     1711   744.4   4946.3   7239.1   7.6   50.4    73.7
   42928  0.749889     1867   790.3   4700.9   7845.4   7.9   47.2    78.9
   43811  0.753263     1605   762.1   4910.0   7244.6   7.6   49.0    72.2
   44531  0.757624     2075   753.3   4627.5   7333.1   7.4   45.4    71.9
   45079  0.761821     1997   740.0   4276.3   8294.6   7.2   41.9    81.2
   45634  0.765428     1716   739.2   4237.1   7812.5   7.0   40.3    74.3
   46195  0.769581     1976   728.0   4436.4   8770.8   6.9   41.9    82.8
   46763  0.773104     1676   806.5   4476.6   8679.8   7.6   42.3    82.0
   47435  0.779232     2916   756.3   4924.3  11839.8   7.0   45.5   109.5
   47823  0.782944     1766   768.0   5528.1  14787.7   7.2   51.6   138.0
   48215  0.786652     1764   739.3   4937.1   9499.6   6.9   46.1    88.6
   48609  0.790555     1857   821.1   5351.4   8273.4   7.5   48.9    75.7
   49007  0.794353     1807   777.3   4167.1   7374.7   7.1   37.9    67.1
   49408  0.798016     1743   776.4   4497.3   9389.9   7.0   40.8    85.1
   49813  0.802216     1998   677.7   4905.3  11735.3   6.1   44.0   105.3
   50221  0.806045     1822   722.3   4192.7   7861.2   6.5   37.5    70.4
   50632  0.809875     1822   707.7   4612.3   6753.4   6.3   41.2    60.3
   51046  0.814221     2068   697.6   4584.9   6868.0   6.2   41.0    61.4
   55381  0.817202     1418   697.2   4693.1  11978.9   5.7   38.3    97.7
   60084  0.820331     1489   780.2   5273.7  22563.0   6.0   40.8   174.7
   64132  0.823623     1566   716.1   4823.1   7411.9   5.3   36.0    55.4
   66528  0.826347     1296   951.9   5037.8   7358.2   7.0   36.8    53.8
   69014  0.829226     1370   901.7   5058.3  11352.6   6.4   36.1    81.0
   71156  0.831929     1286   928.6   6732.3  14133.0   6.5   46.9    98.5
   72473  0.834453     1201   932.9   4798.6  10522.3   6.3   32.4    71.0
   73814  0.836641     1041   906.8   4781.5   7184.4   6.1   32.4    48.7
   75180  0.839941     1570   960.5   4631.4   7591.0   6.2   29.9    49.0
   75795  0.842844     1381   876.7   4439.4   7786.9   5.6   28.4    49.9
   76416  0.845700     1359   960.4   7229.2  13246.8   6.1   46.1    84.5
   77041  0.848767     1459   851.5   4063.5   5995.7   5.4   25.7    37.9
   77672  0.851774     1431   789.5   4410.0   7599.1   5.0   27.9    48.1
   78307  0.854832     1455   939.3   5043.6   7000.6   5.9   31.5    43.7
   78948  0.857781     1403   930.1   5079.2   8431.4   5.8   31.5    52.2
   79595  0.861010     1536   896.2   5965.0   9997.4   5.5   36.4    61.1
   80246  0.863538     1203   917.3   5071.5   7191.5   5.6   31.0    44.0
   80903  0.866075     1207   907.5   4807.6   8517.0   5.6   29.4    52.1
   81565  0.869190     1482   876.3   5963.7  10989.8   5.3   36.0    66.4
   85305  0.872357     1507   831.2   5028.4   8316.9   4.8   29.2    48.3
   89216  0.875510     1500   852.5   6119.3  10355.0   4.8   34.3    58.1
   93306  0.878614     1477   936.2   5073.3   9203.5   4.9   26.8    48.5
   97584  0.882049     1634   931.1   5960.8  10851.6   4.8   30.4    55.4
  102058  0.886351     2047   955.2   4876.8   9070.1   4.7   24.1    44.8
  105871  0.888722     1128   953.3   5380.9   8468.2   4.5   25.5    40.2
  109826  0.891236     1196   895.2   5094.1   8805.0   4.1   23.5    40.6
  113929  0.893785     1213   983.0   5624.3   8471.9   4.1   23.4    35.3
  118669  0.896467     1276   931.6   4953.5  11430.9   3.7   19.7    45.5
  123857  0.899347     1370   913.4   4773.5   8725.0   3.5   18.4    33.6
  129272  0.902438     1471   996.5   5019.7   7210.2   3.6   18.0    25.8
  135199  0.904887     1165   974.8   5269.8   7501.9   3.3   18.1    25.7
  141975  0.908153     1554  1056.2   5644.2  12783.0   3.5   18.5    41.9
  149091  0.911110     1407   942.3   5628.8   9663.7   2.9   17.2    29.5
