# Fraction of RTTS longer than a given time for dctcp_tfo_pool_w4 experiment
# Includes messages <= 315 bytes; measured at 2026-04-01 21:27:32.723706
# Data collected at 2026-04-01 21:27:32.723706 
#       usec        frac
      29.820  0.99997711
      30.690  0.99995422
      31.010  0.99990845
      31.580  0.99988556
      31.900  0.99986267
      32.250  0.99981689
      32.580  0.99974823
      32.970  0.99965667
      33.330  0.99961089
      33.760  0.99951934
      34.130  0.99945068
      34.520  0.99926757
      34.950  0.99903868
      35.350  0.99890135
      35.720  0.99853513
      36.080  0.99823758
      36.450  0.99766537
      36.830  0.99720760
      37.200  0.99672694
      37.580  0.99597162
      37.960  0.99519341
      38.340  0.99420920
      38.730  0.99329366
      39.130  0.99228656
      39.540  0.99118791
      39.950  0.99013504
      40.350  0.98892195
      40.760  0.98777752
      41.170  0.98663310
      41.600  0.98521401
      42.020  0.98372625
      42.460  0.98235294
      42.890  0.98102541
      43.320  0.97937743
      43.760  0.97791257
      44.200  0.97656214
      44.650  0.97509728
      45.100  0.97370108
      45.560  0.97241932
      46.040  0.97095445
      46.510  0.96923781
      46.980  0.96731518
      47.450  0.96520943
      47.930  0.96319524
      48.420  0.96079194
      48.910  0.95809110
      49.400  0.95458915
      49.900  0.95131609
      50.400  0.94831769
      50.910  0.94467842
      51.420  0.94101625
      51.940  0.93719387
      52.460  0.93295949
      52.990  0.92849622
      53.520  0.92453651
      54.060  0.92066835
      54.610  0.91638819
      55.160  0.91247425
      55.720  0.90917830
      56.280  0.90606546
      56.850  0.90249485
      57.420  0.89963378
      58.000  0.89661250
      58.590  0.89386587
      59.180  0.89132525
      59.780  0.88885328
      60.380  0.88628977
      60.990  0.88381781
      61.610  0.88152895
      62.230  0.87962921
      62.860  0.87800412
      63.490  0.87608148
      64.130  0.87438773
      64.780  0.87267109
      65.430  0.87134356
      66.090  0.86955825
      66.780  0.86811627
      67.460  0.86655985
      68.140  0.86509499
      68.840  0.86335546
      69.530  0.86179904
      70.230  0.86037995
      70.940  0.85905241
      71.650  0.85763333
      72.380  0.85598535
      73.120  0.85452049
