# Digested data for dctcp_tfo_staggered_w4 experiment, run at 2026-04-01 21:42:06.044442
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
      60  0.002070      994   399.7   2929.2   4953.6  19.5  143.0   241.9
      72  0.004287     1065   386.4   3096.0   4423.2  19.1  153.1   218.8
      92  0.007352     1472   436.7   3002.7   6455.8  21.7  149.4   321.2
     119  0.009647     1102   464.3   2508.7   3764.4  22.9  123.6   185.4
     154  0.011662      968   423.0   2955.3   4146.3  20.9  145.7   204.5
     199  0.013963     1105   436.0   2931.3   4795.2  21.3  143.4   234.6
     222  0.017194     1552   423.4   2991.1   5235.3  20.8  146.7   256.8
     227  0.019651     1180   397.4   2881.1   3845.9  19.6  141.8   189.3
     232  0.022200     1224   450.4   3039.2   8725.1  22.2  150.0   430.7
     237  0.024830     1263   430.9   3200.3   5631.2  21.3  157.9   277.8
     243  0.027303     1188   396.0   2802.7   3802.8  19.6  138.4   187.8
     248  0.029927     1260   426.0   3223.1  13587.0  21.1  159.9   674.0
     254  0.032517     1244   436.9   3102.7   8573.5  21.6  153.4   423.8
     259  0.035132     1256   451.0   2677.0   3459.9  22.3  132.3   170.9
     265  0.037629     1199   443.6   3174.7   4995.2  21.9  156.8   246.7
     271  0.040275     1271   395.1   2579.8   5463.1  19.5  127.5   269.9
     279  0.043621     1607   431.0   2780.0   4881.9  21.2  137.0   240.6
     288  0.047048     1646   423.7   2884.0   4777.2  20.9  142.4   235.9
     297  0.050261     1543   420.4   2812.9   4280.4  20.5  137.1   208.6
     303  0.059598     4484   414.6   2925.8   4063.4  20.0  141.5   196.5
     305  0.068122     4094   442.2   3058.0   6353.3  21.4  147.7   306.9
     308  0.076513     4030   433.7   2794.5   5364.9  21.0  135.1   259.4
     310  0.085204     4174   414.7   3031.2   4309.3  20.0  146.2   207.9
     313  0.093818     4137   421.1   3047.1   5895.7  20.5  148.1   286.5
     315  0.102301     4074   408.5   2932.7   5699.6  19.8  142.4   276.7
     318  0.111096     4224   410.9   3311.5   6120.4  19.9  160.4   296.4
     321  0.119770     4166   422.2   2799.4   4855.4  20.5  136.0   235.9
     323  0.128271     4083   406.1   2997.4   5201.1  19.7  145.7   252.9
     326  0.136640     4019   418.1   2997.6   5097.0  20.4  145.9   248.1
     331  0.142965     3038   442.7   2884.0   5014.2  21.6  140.5   244.4
     335  0.149347     3065   394.1   2977.5   5790.3  19.2  145.1   282.2
     340  0.156033     3211   438.9   3328.3   6372.9  21.4  162.0   310.1
     345  0.162675     3190   417.8   2895.7   6325.2  20.3  140.7   307.3
     350  0.169200     3134   419.3   3057.6   6845.9  20.3  148.1   331.5
     355  0.175736     3139   404.3   3148.2   5663.6  19.5  152.2   273.9
     360  0.181960     2989   408.7   2934.6   6343.4  19.6  140.9   304.5
