# Digested data for dctcp_tfo_load_aware_w4 experiment, run at 2026-04-01 21:42:06.044442
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
      60  0.002258     1089   438.2   2948.3   4697.7  21.4  144.0   229.4
      72  0.004404     1035   453.0   2945.6   4146.3  22.4  145.7   205.1
      92  0.007266     1380   452.2   3281.1   4187.1  22.5  163.2   208.3
     119  0.009667     1158   418.7   3329.7   4387.6  20.6  164.0   216.1
     154  0.012066     1157   456.4   3467.9   5468.1  22.5  171.0   269.6
     199  0.014366     1109   408.8   3076.6   5185.9  20.0  150.5   253.7
     222  0.017665     1591   447.6   3061.5   5020.6  22.0  150.1   246.2
     227  0.020324     1282   444.6   2785.4   4540.2  21.9  137.1   223.4
     232  0.022976     1279   451.5   3084.8   4956.2  22.3  152.3   244.6
     237  0.025618     1274   450.8   2952.5   4487.3  22.2  145.7   221.4
     243  0.027928     1114   439.6   2878.6   6479.5  21.7  142.2   320.0
     248  0.030603     1290   400.0   3515.3   5117.0  19.8  174.4   253.8
     254  0.033282     1292   444.7   2700.3   4335.3  22.0  133.5   214.3
     259  0.036044     1332   421.8   3015.2   5050.7  20.8  149.0   249.5
     265  0.038659     1261   422.4   3283.2   5177.8  20.9  162.1   255.7
     271  0.041145     1199   427.7   2790.2   3836.2  21.1  137.9   189.5
     279  0.044598     1665   416.0   2905.2   4888.7  20.5  143.2   240.9
     288  0.048007     1644   441.4   3055.6   4410.6  21.8  150.9   217.8
     297  0.051407     1640   457.6   3268.8   4766.3  22.3  159.3   232.3
     303  0.060834     4546   440.9   3144.0   4906.1  21.3  152.0   237.2
     305  0.069616     4235   443.1   2965.2   5015.5  21.4  143.2   242.3
     308  0.078269     4173   443.1   3036.4   5001.4  21.4  146.8   241.8
     310  0.086690     4061   450.8   3452.1   5068.8  21.7  166.5   244.5
     313  0.095026     4020   446.2   3084.4   4594.1  21.7  149.9   223.2
     315  0.103634     4151   460.0   3087.3   4981.6  22.3  149.9   241.8
     318  0.112076     4071   428.1   3208.8   4609.8  20.7  155.4   223.2
     321  0.120573     4098   427.0   3086.0   4501.3  20.8  149.9   218.7
     323  0.128907     4019   437.1   3039.7   4881.7  21.2  147.8   237.3
     326  0.137428     4109   447.8   3161.3   4860.1  21.8  153.9   236.6
     331  0.143725     3037   421.0   2983.6   4492.9  20.5  145.4   219.0
     335  0.150025     3038   432.8   3220.0   4779.4  21.1  156.9   232.9
     340  0.156524     3134   454.5   3057.1   4964.7  22.1  148.8   241.6
     345  0.163166     3203   441.0   3392.2   5390.1  21.4  164.8   261.9
     350  0.169577     3092   432.4   3316.5   5075.7  20.9  160.6   245.8
     355  0.176030     3112   433.0   3092.3   4909.0  20.9  149.5   237.4
     360  0.182772     3251   454.4   3397.0   5107.5  21.8  163.1   245.2
     365  0.189177     3089   448.0   3076.4   4450.4  21.5  147.3   213.1
     371  0.195554     3075   439.2   3176.3   4979.1  21.2  153.3   240.3
     376  0.202003     3110   422.3   3085.3   4661.1  20.4  148.8   224.8
