# Digested data for dctcp_tfo_pool_w4 experiment, run at 2026-04-01 21:42:06.044442
# length  cum_frac  samples     p50      p99     p999   s50    s99    s999
      60  0.002303     1109   417.0   2601.1   5199.3  20.4  127.0   253.9
      72  0.004563     1088   384.1   2871.2   9253.5  19.0  142.0   457.6
      92  0.007601     1463   393.6   2597.3   7045.1  19.6  129.2   350.5
     119  0.009850     1083   402.5   3002.7   6544.5  19.8  147.9   322.4
     154  0.012081     1074   375.3   3077.4   6462.0  18.5  151.7   318.6
     199  0.014432     1132   424.2   2646.4   3662.3  20.8  129.5   179.2
     222  0.017885     1663   406.5   2817.3   9135.0  19.9  138.2   448.0
     227  0.020361     1192   404.1   2672.7   7192.3  19.9  131.5   354.0
     232  0.022867     1207   414.1   2989.7   6747.2  20.4  147.6   333.0
     237  0.025499     1267   415.4   3114.8  12350.0  20.5  153.7   609.3
     243  0.028138     1271   428.6   3069.5   8087.5  21.2  151.6   399.4
     248  0.030844     1303   429.9   2558.0   5239.8  21.3  126.9   259.9
     254  0.033372     1217   411.7   2747.7  12266.5  20.4  135.8   606.4
     259  0.035777     1158   422.9   2601.4  14900.9  20.9  128.5   736.2
     265  0.038528     1325   392.0   3015.1   9124.9  19.4  148.9   450.6
     271  0.041124     1250   416.0   2728.9   4537.3  20.6  134.8   224.2
     279  0.044281     1520   406.7   2773.2   4887.1  20.0  136.7   240.9
     288  0.047602     1599   381.1   2790.7   5336.1  18.8  137.8   263.5
     297  0.050871     1574   404.4   2794.7   4846.8  19.7  136.2   236.2
     303  0.060420     4598   409.9   2730.6   5451.9  19.8  132.0   263.6
     305  0.068764     4018   412.9   2932.1   7634.2  19.9  141.6   368.8
     308  0.077347     4133   417.1   2870.2   6026.9  20.2  138.8   291.4
     310  0.085586     3967   408.1   2784.1   8787.5  19.7  134.3   423.9
     313  0.094113     4106   392.9   2836.3   4404.7  19.1  137.8   214.0
     315  0.102773     4170   401.5   2811.2   6007.4  19.5  136.5   291.6
     318  0.111095     4007   406.6   2678.7   7432.1  19.7  129.7   359.9
     321  0.119790     4187   401.7   2811.8   5042.8  19.5  136.6   245.0
     323  0.128170     4035   410.8   3012.3   6593.7  20.0  146.4   320.5
     326  0.136820     4165   398.9   2823.7   9063.8  19.4  137.5   441.3
     331  0.143304     3122   397.4   2607.5   6237.9  19.4  127.1   304.0
     335  0.149800     3128   397.1   2905.0   5466.7  19.4  141.6   266.4
     340  0.156445     3200   426.8   2547.4   6380.1  20.8  124.0   310.5
     345  0.162954     3134   408.7   2832.7   5333.2  19.9  137.6   259.1
     350  0.169380     3094   407.7   2843.0   5459.7  19.7  137.7   264.4
     355  0.175749     3067   391.9   2892.6   7054.3  19.0  139.9   341.1
     360  0.182073     3045   384.8   2983.5   8420.2  18.5  143.2   404.2
     365  0.188658     3171   411.0   2824.9   5844.5  19.7  135.3   279.9
     371  0.194756     2936   402.8   2863.8   9093.3  19.4  138.2   438.9
     376  0.201559     3276   413.5   2650.1   6820.3  19.9  127.8   329.0
     385  0.205526     1910   407.3   2721.7   7827.6  19.7  131.4   378.0
     395  0.209794     2055   424.2   2647.7   7904.8  20.4  127.6   381.0
     405  0.214101     2074   424.1   3448.7   7506.0  20.4  166.0   361.2
     415  0.218059     1906   402.1   2866.9   9638.8  19.3  137.6   462.7
     425  0.222184     1986   415.3   2915.7   7368.4  19.9  140.0   353.9
     430  0.226208     1938   376.6   3042.0  12861.4  18.1  146.1   617.7
     435  0.230252     1947   395.2   2710.8   4552.1  19.0  130.5   219.2
     441  0.234262     1931   422.3   3027.4   7378.8  20.3  145.6   354.9
     446  0.238445     2014   415.3   2715.7   5892.0  20.0  130.6   283.4
     452  0.242561     1982   396.5   2723.9   6492.7  19.1  131.2   312.7
     457  0.246580     1935   398.2   2828.3   6332.0  19.1  135.8   304.1
     463  0.250596     1934   423.2   2809.7   9078.0  20.2  134.1   433.1
     468  0.254729     1990   418.8   2990.4  11488.3  19.9  142.3   546.8
     474  0.258779     1950   412.4   2898.1   7583.2  19.7  138.2   361.6
     480  0.262949     2008   392.4   2798.8   5844.2  18.7  133.4   278.6
     491  0.282634     9479   405.9   2922.1   6285.9  19.3  138.9   298.9
     502  0.302231     9436   416.9   2801.9   5754.8  19.9  133.5   274.2
     513  0.321665     9358   401.9   2913.9   7337.5  19.2  139.0   350.1
     525  0.341052     9335   403.6   2871.1   7156.8  19.1  136.0   339.0
     537  0.360808     9513   395.4   2814.4   8157.3  18.7  133.1   385.7
     549  0.380552     9507   397.4   2871.3   7912.1  18.8  135.8   374.1
     561  0.400292     9505   388.7   2761.0   6694.8  18.5  131.5   318.9
     574  0.419045     9030   407.4   2932.0   7296.1  19.4  139.4   346.9
     587  0.438662     9446   405.4   2866.8   7718.0  19.3  136.3   366.8
     600  0.458487     9546   401.4   2791.5   5824.9  19.1  132.6   276.7
     607  0.464144     2724   385.2   2790.7   7115.4  18.3  132.8   338.7
     615  0.469721     2685   412.7   2849.6   7930.7  19.6  135.2   376.2
     623  0.475426     2747   401.7   2581.2   5051.8  19.0  122.4   239.5
     630  0.481301     2829   399.0   2786.4   7366.4  18.9  132.3   349.8
     638  0.487234     2857   411.1   2926.8   7073.4  19.5  138.7   335.2
     646  0.492677     2621   414.7   2771.9   6964.3  19.7  131.5   330.4
     654  0.498247     2682   384.0   3025.7  10682.8  18.2  143.5   506.8
     662  0.503894     2719   418.6   2848.7   8775.1  19.8  134.8   415.3
     671  0.509601     2748   371.5   2930.5   5465.4  17.6  138.8   258.8
     679  0.515322     2755   413.9   2966.3   7982.3  19.6  140.4   377.8
     685  0.518909     1727   399.6   2737.7   5702.3  18.9  129.5   269.7
     690  0.522294     1630   404.2   2682.2   5551.1  19.2  127.1   263.1
     696  0.525690     1635   413.6   3314.3  12112.4  19.6  157.2   574.3
     702  0.529108     1646   416.7   2976.2   6333.5  19.7  140.9   299.7
     707  0.532666     1713   413.1   2841.7   4381.6  19.6  134.9   208.1
     713  0.535947     1580   416.3   2882.1   9669.3  19.7  136.7   458.7
     719  0.539762     1837   415.1   2796.5   7856.1  19.7  132.7   372.9
     725  0.543349     1727   397.6   2776.3  10398.5  18.8  131.4   492.1
     731  0.546800     1662   403.6   2877.0   7815.1  19.1  136.4   370.6
     737  0.550636     1847   420.6   2927.7   7110.2  19.9  138.5   336.3
     749  0.555469     2327   400.7   2789.2   4920.0  18.9  131.5   232.0
     762  0.559988     2176   397.0   2931.4   5632.9  18.8  138.5   266.1
     774  0.564814     2324   397.9   3094.4   8921.3  18.7  145.1   418.4
     787  0.569595     2302   432.3   2741.1   7619.5  20.3  129.0   358.6
     800  0.574265     2249   423.9   2706.1   8245.1  19.9  127.2   387.6
     816  0.577462     1539   404.7   3087.5   5331.6  19.0  144.9   250.2
     833  0.580556     1490   410.1   2814.3   6936.3  19.3  132.2   325.8
     850  0.583256     1300   391.8   2735.9  10878.0  18.4  128.3   510.2
     867  0.586199     1417   425.5   2921.5   5498.2  19.8  136.3   256.4
     885  0.589386     1535   418.3   2821.6   6759.8  19.6  132.0   316.3
     914  0.593135     1805   417.2   2947.2   6834.3  19.5  137.5   318.8
     945  0.596846     1787   373.8   3036.8   9896.9  17.4  141.7   461.8
     976  0.600684     1848   426.4   2867.8   7749.9  19.8  133.4   360.6
    1009  0.604595     1883   402.2   3001.7   6042.4  18.7  139.2   280.3
    1042  0.608148     1711   417.0   2694.9   4346.6  19.3  124.5   200.9
    1085  0.611714     1717   413.3   2908.7  13001.2  19.0  134.0   598.9
    1130  0.615481     1814   394.0   2796.5   8333.5  18.2  128.9   384.2
    1177  0.619155     1769   416.4   2784.3   8704.4  19.1  127.6   398.9
    1226  0.622663     1689   408.9   2761.0   9995.0  18.7  126.5   457.9
    1277  0.626156     1682   388.8   2780.0   5376.9  17.8  127.2   246.0
    1316  0.629429     1576   421.2   2934.2  10934.5  19.1  133.3   496.8
    1357  0.632660     1556   413.7   2746.6   5046.4  18.9  125.4   230.4
    1399  0.636241     1724   387.7   2957.1   6114.8  17.7  134.7   278.5
    1436  0.638702     1185   392.6   2889.0   4478.3  15.4  113.2   175.4
    1484  0.641630     1410   385.0   2853.1   6316.9  15.2  112.3   248.6
    1534  0.644660     1459   423.7   2832.2   6321.1  16.6  111.2   248.2
    1559  0.648716     1953   408.6   2778.0   8396.9  15.9  108.3   327.4
    1585  0.652969     2048   393.1   2734.5   5739.7  15.3  106.6   223.8
    1611  0.656767     1829   394.0   2886.9   7634.5  15.4  112.7   298.0
    1637  0.660979     2028   440.1   2946.9   5444.2  17.2  115.4   213.2
    1664  0.665035     1953   436.4   2956.0  13222.7  17.0  115.2   515.5
    1865  0.668013     1434   393.1   2827.4   5641.4  15.3  109.8   219.2
    2091  0.670950     1414   406.9   2947.9   7860.2  15.7  113.4   302.3
    2412  0.674399     1661   392.7   2685.8   5726.9  15.1  103.1   219.8
    2742  0.677433     1461   420.1   3291.9  10816.5  16.1  126.0   414.1
    3118  0.680245     1354   444.9   3033.1   6421.9  16.2  110.6   234.2
    3544  0.683228     1436   418.8   2959.7   6757.2  15.1  106.5   243.2
    4030  0.685952     1312   434.8   2917.0   7492.1  15.3  102.8   264.0
    4582  0.688731     1338   424.1   2908.8   4477.6  14.2   97.6   150.3
    5210  0.691396     1283   436.2   2855.0   4245.6  14.5   94.7   140.8
    5652  0.694168     1335   454.4   3333.8   8548.5  15.0  110.2   282.6
    6132  0.697192     1456   439.5   2865.2   9777.5  13.6   88.6   302.4
