# Fraction of RTTS longer than a given time for dctcp_tfo_staggered_w4 experiment
# Includes messages <= 315 bytes; measured at 2026-04-01 21:27:32.723706
# Data collected at 2026-04-01 21:27:32.723706 
#       usec        frac
      29.890  0.99997689
      31.030  0.99993067
      31.730  0.99988445
      32.050  0.99983823
      32.490  0.99976890
      32.820  0.99972268
      33.150  0.99963025
      33.510  0.99942226
      33.880  0.99926049
      34.230  0.99909872
      34.580  0.99879830
      34.960  0.99847476
      35.330  0.99815123
      35.690  0.99771215
      36.060  0.99690331
      36.430  0.99639490
      36.800  0.99565539
      37.170  0.99475411
      37.550  0.99371418
      37.930  0.99267425
      38.310  0.99144944
      38.710  0.99013219
      39.100  0.98881494
      39.500  0.98708172
      39.900  0.98548715
      40.300  0.98396192
      40.730  0.98213625
      41.140  0.98042614
      41.560  0.97876225
      41.980  0.97721390
      42.400  0.97552690
      42.830  0.97397855
      43.260  0.97240710
      43.700  0.97092808
      44.150  0.96944907
      44.600  0.96831669
      45.050  0.96686079
      45.510  0.96515067
      45.970  0.96362544
      46.440  0.96184600
      46.910  0.95958125
      47.380  0.95715474
      47.860  0.95458957
      48.340  0.95146977
      48.830  0.94832686
      49.320  0.94444444
      49.820  0.94021538
      50.320  0.93610187
      50.830  0.93166482
      51.340  0.92727399
      51.860  0.92260584
      52.390  0.91766038
      52.920  0.91227584
      53.450  0.90746903
      53.990  0.90287022
      54.530  0.89891847
      55.080  0.89448142
      55.640  0.89064522
      56.200  0.88701701
      56.770  0.88336569
      57.340  0.88024589
      57.920  0.87763450
      58.500  0.87493067
      59.090  0.87245794
      59.690  0.86963857
      60.290  0.86748937
      60.900  0.86517841
      61.510  0.86286744
      62.130  0.86101867
      62.780  0.85905435
      63.410  0.85697449
      64.060  0.85482529
      64.720  0.85299963
      65.370  0.85119708
      66.040  0.84927898
      66.710  0.84733777
      67.380  0.84560455
      68.060  0.84384822
      68.760  0.84234609
      69.450  0.84054354
      70.170  0.83945739
      70.880  0.83790904
      71.590  0.83633759
      72.310  0.83478924
      73.060  0.83319468
      73.800  0.83164633
      74.540  0.83002866
      75.300  0.82866519
      76.060  0.82704751
      76.830  0.82573026
      77.610  0.82438991
      78.400  0.82314199
      79.190  0.82154742
      80.000  0.82009151
      80.830  0.81858939
      81.640  0.81738769
      82.460  0.81586245
      83.290  0.81440654
      84.130  0.81295064
      84.990  0.81165650
      85.870  0.81031614
      86.730  0.80876779
      87.600  0.80775097
      88.480  0.80643372
      89.380  0.80479294
      90.280  0.80329081
      91.230  0.80183490
      92.160  0.80047144
      93.100  0.79906175
      94.040  0.79783694
      95.000  0.79654280
      95.950  0.79513311
      96.950  0.79376964
      97.920  0.79196709
      98.920  0.79053429
      99.910  0.78903217
     100.940  0.78762248
     101.950  0.78600481
     102.980  0.78459512
     104.020  0.78325476
     105.070  0.78166020
     106.130  0.77992697
     107.200  0.77847107
     108.280  0.77669163
     109.390  0.77491218
     110.490  0.77343317
     111.630  0.77174616
     112.760  0.76998983
     113.900  0.76853392
     115.040  0.76714735
     116.200  0.76583010
     117.370  0.76430486
     118.600  0.76277963
     119.790  0.76116195
     121.000  0.75979848
     122.230  0.75829636
     123.470  0.75672490
     124.710  0.75506101
     125.970  0.75330468
     127.240  0.75150213
     128.550  0.74972268
     129.880  0.74785080
     131.210  0.74600203
     132.540  0.74433814
     133.890  0.74230449
     135.270  0.74052505
     136.660  0.73867628
     138.030  0.73710483
     139.450  0.73514051
     140.850  0.73331485
     142.260  0.73162784
     143.700  0.72954798
     145.140  0.72786097
     146.610  0.72619708
     148.080  0.72451008
     149.600  0.72266131
     151.100  0.72072010
     152.630  0.71907931
     154.170  0.71706877
     155.720  0.71522000
     157.290  0.71374099
     158.870  0.71177667
     160.460  0.71002034
     162.080  0.70824089
     163.740  0.70671566
     165.390  0.70472823
     167.050  0.70271769
     168.740  0.70075337
     170.460  0.69874284
     172.190  0.69673230
     173.940  0.69453688
     175.710  0.69250324
     177.480  0.69077001
     179.280  0.68880569
     181.080  0.68656406
     182.940  0.68443797
     184.780  0.68208079
     186.710  0.67995471
     188.580  0.67764374
     190.500  0.67565631
     192.420  0.67346090
     194.360  0.67121926
     196.320  0.66932427
     198.320  0.66712886
     200.320  0.66511832
     202.330  0.66313089
     204.370  0.66107414
     206.430  0.65876317
     208.540  0.65661398
     210.630  0.65448789
     212.760  0.65192272
     214.900  0.64908024
     217.080  0.64720836
     219.260  0.64540581
     221.470  0.64288686
     223.690  0.64096876
     225.930  0.63881956
     228.290  0.63669347
     230.600  0.63435940
     232.930  0.63200222
     235.280  0.62976058
     237.640  0.62740340
     240.020  0.62523110
     242.440  0.62303568
     244.870  0.62070161
     247.330  0.61836754
     249.810  0.61617212
     252.310  0.61372250
     254.860  0.61118044
     257.420  0.60870771
     260.020  0.60618876
     262.660  0.60397023
     265.320  0.60117397
     267.980  0.59877057
     270.670  0.59671381
     273.380  0.59380200
     276.120  0.59165280
     278.890  0.58957293
     281.700  0.58703087
     284.560  0.58460436
     287.480  0.58162322
     290.380  0.57933537
     293.290  0.57635422
     296.250  0.57341930
     299.220  0.57036883
     302.300  0.56784988
     305.370  0.56503050
     308.450  0.56225735
     311.560  0.55936864
     314.690  0.55678037
     317.880  0.55433075
     321.070  0.55116473
     324.340  0.54915419
     327.590  0.54656591
     330.880  0.54420873
     334.200  0.54113515
     337.560  0.53824644
     341.010  0.53535774
     344.440  0.53279257
     347.930  0.52974210
     351.440  0.52738491
     354.970  0.52414957
     358.590  0.52133019
     362.200  0.51874191
     365.850  0.51573766
     369.580  0.51264097
     373.300  0.50975226
     377.060  0.50647070
     380.880  0.50305047
     384.700  0.49967647
     388.560  0.49681087
     392.500  0.49438436
     396.470  0.49170364
     400.450  0.48897671
     404.460  0.48643465
     408.510  0.48340728
     412.610  0.48021815
     416.770  0.47702903
     421.030  0.47393233
     425.280  0.47085875
     429.540  0.46755408
     433.860  0.46445739
     438.200  0.46182289
     442.660  0.45849510
     447.120  0.45509798
     451.600  0.45220928
     456.160  0.44920503
     460.750  0.44657053
     465.370  0.44338140
     470.030  0.44030782
     474.740  0.43714180
     479.490  0.43397578
     484.290  0.43034757
     489.170  0.42752819
     494.070  0.42433906
     499.090  0.42121926
     504.100  0.41844611
     509.170  0.41511832
     514.360  0.41218340
     519.590  0.40887872
     524.790  0.40615178
     530.040  0.40330930
     535.350  0.40009706
     540.710  0.39746256
     546.120  0.39445831
     551.640  0.39113052
     557.160  0.38842670
     562.740  0.38521446
     568.440  0.38170179
     574.130  0.37848955
     579.900  0.37562396
     585.750  0.37222684
     591.630  0.36869107
     597.560  0.36506286
     603.550  0.36157330
     609.130  0.35794509
     615.300  0.35480218
     621.530  0.35156683
     627.900  0.34810039
     634.210  0.34470327
     640.560  0.34132927
     647.000  0.33823258
     653.390  0.33483546
     659.270  0.33148456
     665.990  0.32861897
     672.700  0.32540673
     679.440  0.32247181
     686.250  0.31923646
     692.610  0.31602422
     699.590  0.31332039
     705.790  0.31017748
     712.340  0.30705768
     719.490  0.30400721
     726.860  0.30118784
     734.160  0.29820669
     741.270  0.29520244
     748.630  0.29224441
     755.480  0.28930948
     762.610  0.28639767
     769.190  0.28353208
     775.630  0.28068959
     781.460  0.27787022
     787.090  0.27507395
     793.700  0.27230079
     799.620  0.26957386
     806.120  0.26687003
     813.020  0.26418931
     819.340  0.26153171
     826.040  0.25889721
     832.120  0.25628582
     838.520  0.25372065
     845.030  0.25117859
     851.110  0.24865964
     856.530  0.24616380
     863.010  0.24369107
     870.220  0.24124145
     877.080  0.23881494
     883.230  0.23641154
     889.760  0.23403124
     897.420  0.23167406
     903.420  0.22933999
     909.620  0.22702903
     916.090  0.22474117
     922.590  0.22247643
     928.970  0.22023479
     934.910  0.21801627
     942.210  0.21582085
     948.210  0.21364855
     955.050  0.21149935
     961.500  0.20937327
     968.120  0.20727029
     974.080  0.20519042
     980.400  0.20313367
     988.020  0.20110002
     995.620  0.19906637
    1002.750  0.19705583
    1009.590  0.19506840
    1017.620  0.19310409
    1024.330  0.19116288
    1031.250  0.18924478
    1039.110  0.18734979
    1046.200  0.18545480
    1051.200  0.18358292
    1058.790  0.18173415
    1065.830  0.17990849
    1071.260  0.17810593
    1076.420  0.17630338
    1083.950  0.17452394
    1090.520  0.17276761
    1098.050  0.17103439
    1105.830  0.16930116
    1112.520  0.16759105
    1119.680  0.16590405
    1126.640  0.16424016
    1133.120  0.16257626
    1140.240  0.16093548
    1147.960  0.15931780
    1156.060  0.15772324
    1164.910  0.15612867
    1172.690  0.15455722
    1180.270  0.15300887
    1185.430  0.15146053
    1192.370  0.14993529
    1198.740  0.14843317
    1205.320  0.14693104
    1210.490  0.14545202
    1217.000  0.14399612
    1224.010  0.14254021
    1231.640  0.14110741
    1238.340  0.13967462
    1244.750  0.13826493
    1251.550  0.13687835
    1256.840  0.13549177
    1262.840  0.13412830
    1269.160  0.13276484
    1274.770  0.13142448
    1281.330  0.13010723
    1288.030  0.12878998
    1295.250  0.12749584
    1301.260  0.12620170
    1307.980  0.12493067
    1312.870  0.12365964
    1317.940  0.12241172
    1324.800  0.12118691
    1330.930  0.11996210
    1337.480  0.11876040
    1345.840  0.11755870
    1351.520  0.11638011
    1357.030  0.11520152
    1363.060  0.11404603
    1369.410  0.11289055
    1376.130  0.11175818
    1381.510  0.11062581
    1387.370  0.10951655
    1393.040  0.10840728
    1399.700  0.10732113
    1405.540  0.10623498
    1413.130  0.10517194
    1418.830  0.10410889
    1424.260  0.10304585
    1430.500  0.10200592
    1435.730  0.10096598
    1440.910  0.09994916
    1447.690  0.09893233
    1453.340  0.09793862
